void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
472,16.823667342732303,1.3159730485445755,230.07682153083454,-2.423946239060492e-07,4.235945597091011e-08,-4.919555875085377e-07,2.4956096360248847e-07,5.343150434794478e-07
484,15.742335137652116,1.3514620464720917,295.153799766045,-9.054146903803055e-08,2.3736897662098098e-07,-1.705054360524236e-07,7.996396701439306e-08,4.078744126734046e-07
486,16.126442929299195,1.354452518707328,284.14456578087936,7.950396741828355e-08,1.4960015697923483e-07,-5.143277686078308e-07,5.938317360261143e-07,6.639279255870656e-07
489,16.303094339458028,1.3445398151562113,197.2348488597214,-4.7231871288724395e-07,-2.0166722018552306e-08,-1.1413865497889791e-07,-3.5818005790834605e-07,9.397193296034561e-08
500,16.75326456898371,1.3917291325657455,183.38829527871192,-9.641635041958628e-09,-2.3064227386502747e-07,-2.3051388368259372e-07,2.208722486406351e-07,-1.2839018243374257e-10
505,15.88834113515093,1.3573566656058185,304.73127200247757,-1.6949330115721982e-07,-3.5645764561438194e-07,-1.234711565641136e-07,-4.6022144593106214e-08,-2.3298648905026833e-07
506,15.270983027278389,1.3320777786567244,290.92883951929457,-3.681010134508471e-08,8.335050543446368e-08,3.1749988277828746e-07,-3.543099841233722e-07,-2.3414937734382378e-07
510,16.593833211270464,1.3309742792152077,275.5034680481523,4.241835647615409e-07,2.552012211687774e-07,1.9037741501237524e-07,2.3380614974916566e-07,6.482380615640216e-08
512,15.902955898913405,1.438931201238381,284.72293457305824,-2.443391123799934e-07,-3.4004650255525534e-08,-1.1503715320986157e-07,-1.2930195917013185e-07,8.103250295433604e-08
521,16.154788368057606,1.345320563661932,258.29911109930123,-2.0662134972373936e-07,-7.564882952941386e-08,-1.627468767277206e-07,-4.387447299601877e-08,8.709804719830673e-08
523,16.11071192636502,1.3900865206382664,234.27675475845896,1.9289336716531385e-08,-5.807941880831279e-08,-1.934400041075276e-07,2.12729340824059e-07,1.3536058529921483e-07
525,14.361897414294903,1.3698826851833783,291.45866227873694,-1.7556248081198014e-07,-1.7911854384632656e-07,-2.146450877126903e-07,3.9082606900710147e-08,3.552654386636373e-08
530,15.798520275119214,1.3147941302114416,271.9052238221759,-2.866580792601264e-07,-2.1423381202974378e-06,-2.986351324763464e-07,1.1977053216220018e-08,-1.8437029878210915e-06
534,15.597111909754185,1.4351162866368816,237.47104111547338,-5.152265967917956e-09,1.5494846633444602e-07,-8.613963104643391e-08,8.098736507851595e-08,2.4108809738087993e-07
540,15.879105938912728,1.4027134873061564,291.96345794201045,5.1735024328610774e-08,-2.2301047881749794e-07,-3.532495973106635e-07,4.049846216392743e-07,1.3023911849316557e-07
541,15.306576930659846,1.3139048377064346,222.0402570282315,4.211933013454642e-07,1.8257652520872777e-07,1.5594718358562057e-06,-1.1382785345107414e-06,-1.376895310647478e-06
548,16.475381096125535,1.3226202430330303,208.1911557152084,-2.4496228610354276e-07,1.554525195752712e-08,-1.700931830394122e-07,-7.486910306413057e-08,1.856384349969393e-07
549,15.714753352820845,1.4374207069565363,195.12553243768622,-8.898302258811527e-08,-2.0931410000548582e-07,-3.299567526816121e-07,2.4097373009349687e-07,1.206426526761263e-07
551,16.056345137240108,1.344342327765944,194.71276450556203,-2.953623960407597e-07,-3.9528017003581304e-07,1.1653407505824734e-07,-4.11896471099007e-07,-5.118142450940604e-07
555,16.005186375205962,1.4180648668365714,150.09773357458937,-3.8867156376321356e-08,3.228100315239742e-08,-6.44702999567106e-08,2.560314358038925e-08,9.675130310910803e-08
556,15.671565191476803,1.3260595013267973,211.62326895502326,-2.7019927867282077e-07,-1.1751847042726316e-07,1.9931947289003205e-07,-4.695187515628528e-07,-3.1683794331729523e-07
559,16.42927895303185,1.3105751717278167,297.07467931385236,1.3842214766522751e-09,-3.4971285473727797e-07,-1.6574004144740684e-07,1.671242629240591e-07,-1.8397281328987112e-07
561,16.13705190972663,1.3721099859153327,114.41592210827103,-1.2331726678473098e-07,5.283193091246431e-08,1.7907510732946283e-07,-3.0239237411419384e-07,-1.2624317641699853e-07
563,16.094673544641033,1.3264617282469178,299.2067005954167,1.1933473621210933e-07,2.9043336558394946e-07,3.5645075100714045e-07,-2.3711601479503112e-07,-6.6017385423191e-08
571,15.3229241173736,1.3667056764583099,304.247179343535,5.901097381891969e-08,7.383132120213318e-08,-1.4679261523938765e-07,2.0580358905830734e-07,2.2062393644152083e-07
577,15.579959395879662,1.4576298129158782,271.3359109653487,-3.3616420707400927e-07,-2.3130807672976143e-07,1.4448033802875353e-07,-4.806445451027628e-07,-3.7578841475851496e-07
578,16.139268339794764,1.4909196659659307,227.70077189092993,1.3630063969180514e-07,1.0437910574060622e-07,-1.1897771405579683e-07,2.55278353747602e-07,2.2335681979640305e-07
582,15.993256365159802,1.3072185401299437,257.473129400016,-2.0365174016205867e-07,1.6008168063754997e-07,1.3280991198677843e-08,-2.1693273136073651e-07,1.4680068943887212e-07
584,15.697463835336402,1.3239640701641897,202.11900224214526,6.1042007181600314e-09,-3.34327448367996e-07,-8.656195733360028e-08,9.266615805176031e-08,-2.4776549103439573e-07
587,16.001214919139773,1.3168502586764916,308.4406172708698,-3.4108422236994667e-07,-1.5016291483648924e-07,-9.36689480110218e-08,-2.4741527435892485e-07,-5.6493966825467434e-08
592,16.47988505968343,1.3403231982906971,171.1541818000756,-2.445170736653589e-07,-3.4822344669871126e-08,-2.7417594307989986e-07,2.9658869414540984e-08,2.3935359841002876e-07
594,14.993366319581964,1.329197223121127,171.6002595729225,1.6926428327768783e-07,7.83577531484089e-08,1.3583306240322274e-07,3.3431220874465096e-08,-5.7475309254813834e-08
596,15.411298834852822,1.3116824914667295,157.43191952605142,1.2104516652156393e-07,2.0566396443412965e-07,2.1078391378878524e-07,-8.973874726722131e-08,-5.119949354655589e-09
599,15.244422340559392,1.3018445587409253,228.65779329548883,-2.6294554593984044e-07,4.568595077837029e-08,7.133808958802592e-08,-3.3428363552786633e-07,-2.5652138809655628e-08
601,16.551350593886035,1.4611010750442346,130.68795670846677,2.865133546006962e-07,2.5918885164020274e-07,8.476800888019143e-08,2.0174534572050477e-07,1.744208427600113e-07
604,15.639731894846976,1.4611634024489817,231.10399470483225,-1.6110207201687277e-07,-4.046801249352578e-07,-2.291116768560113e-07,6.800960483913853e-08,-1.755684480792465e-07
606,15.332379787099194,1.3479840734783848,262.1741549929329,-6.52003545714791e-07,-7.51438322348102e-07,-4.436126001463887e-07,-2.0839094556840232e-07,-3.078257222017133e-07
610,14.952172000646616,1.480648974061596,245.14367657294042,-2.478831444206577e-07,2.658091613655447e-07,2.5197940417848654e-07,-4.998625485991443e-07,1.3829757187058151e-08
611,15.366142132863562,1.330115911944989,287.7320064998446,-4.25391720153094e-08,-1.9818383650869046e-07,7.086455388154353e-08,-1.1340372589685293e-07,-2.69048390390234e-07
615,14.858434988855542,1.384114760826541,178.08544400042618,4.2361300836383985e-07,4.082307064203328e-08,7.728177314643772e-07,-3.4920472310053737e-07,-7.319946608223439e-07
618,15.5236106157453,1.3035891276491578,184.84043682112645,-3.81916232975386e-07,-1.0833071381966094e-07,-9.742003088340098e-08,-2.84496202091985e-07,-1.0910682936259962e-08
619,15.837740873710311,1.3632676026523656,284.93227259101155,-2.3500766615164859e-07,-3.3180008577209153e-07,-4.229215042101314e-07,1.879138380584828e-07,9.112141843803985e-08
623,16.098328553103443,1.4215188767899545,162.7107580996989,-7.910932915894163e-08,-2.729345995157347e-07,-2.460765482798093e-07,1.6696721912086767e-07,-2.6858051235925398e-08
629,15.541783412621148,1.3461857473745733,89.33100887593446,2.03156603665527e-07,-9.278039390315442e-08,2.2375903379205683e-07,-2.060243012652982e-08,-3.165394276952112e-07
