event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho
GW230927_043729,35.0,27.1,59.0,0.01,0.6807450808202368,47.72645180847927,59.15897425880515,0.002694478962799189,1601285311727343.8
GW231213_111417,35.6,27.2,59.6,0.06,0.6956742617983607,48.31230755700585,59.83819794138494,0.003996609754780861,1594440163180933.2
GW230726_002940,35.6,27.9,60.6,-0.02,0.6720804483036129,48.89075334828118,60.508461175796654,-0.0015105416535205816,1510918430434503.0
GW231206_233134,35.6,28.2,60.6,-0.08,0.6538570141946962,49.13893896424874,60.7959304843839,0.003233176309965358,1437619891963453.8
GW230606_004305,37.6,25.7,60.8,-0.11,0.6306863397469549,48.757132699148876,60.353663057448706,-0.007341068134067284,1445296934678005.2
GW231113_122623,39.8,26.4,63.0,0.33,0.7730234046615082,51.188662434669226,63.16760506778253,0.0026603979013100254,1643810954928273.2
GW231206_233901,37.6,28.5,63.1,-0.05,0.6601174332313459,51.0684365262246,63.0286153219962,-0.0011312944216133527,1346792487257654.5
GW230922_020344,39.3,29.2,65.4,0.03,0.6841197385848624,53.08154606208867,65.35400741690707,-0.0007032505060082461,1284914459259440.0
GW231129_081745,45.0,23.8,66.0,0.03,0.6446532649666135,53.45996550813459,65.79068486731016,-0.0031714414043914835,1195987003202609.2
GW230825_041334,44.0,27.2,67.0,0.29,0.7545547362915168,55.405829864453224,68.03397622682142,0.015432480997334672,1283698791590463.5
GW231008_142521,45.0,25.6,69.0,-0.01,0.6410021625498179,54.937009887156464,67.4938194959155,-0.02182870295774634,1164974806634890.8
GW231118_071402,43.0,29.0,69.0,0.12,0.7052448611791696,56.04637075059777,68.7716589711031,-0.003309290273868211,1190272615974411.5
GW230831_015414,42.0,30.0,69.0,0.04,0.6841447651582783,56.0285990667647,68.75119711305422,-0.0036058389412432193,1149349088973716.0
GW230803_033412,44.0,29.0,70.0,0.07,0.6865199819069135,56.89508987217368,69.74852340006353,-0.0035925228562352428,1115875504555249.8
GW240104_164932,42.3,32.2,70.7,0.09,0.7049317766776109,58.114369400812755,71.15078859891877,0.006376076363773165,1073557988696836.8
GW230709_122727,45.0,30.0,71.0,0.08,0.6909638625770611,58.57472548397496,71.67989990062492,0.009576054938379121,1021267605853650.2
GW231127_165300,45.0,28.0,71.0,0.05,0.6735710998987868,56.91674799814302,69.77344324421514,-0.01727544726457543,1124128819202037.5
GW231226_101520,40.2,35.1,71.6,-0.08,0.6591957177628526,58.762984518029526,71.89622391506423,0.004137205517656869,976993046915805.8
GW231221_135041,47.0,29.0,73.0,0.01,0.6588818070339559,59.44738992242581,72.68240656221425,-0.004350595038160903,971916316682812.0
GW231223_032836,46.0,31.0,73.0,-0.16,0.6123998829600706,60.25706991066545,73.61199031093815,0.008383428916961012,855657819038882.6
GW230608_205047,48.0,31.0,75.0,0.04,0.6743630540915978,61.961552626668094,75.56714614764594,0.007561948635279236,882727019064900.9
GW230707_124047,46.1,36.3,78.0,-0.05,0.6629243342463322,64.77521645544806,78.78963916277954,0.01012357900999406,780754141861024.2
GW231119_075248,49.0,33.0,79.0,0.0,0.6654840531596173,64.48315904093393,78.45542469891356,-0.006893358241600498,827601112705186.0
GW230928_215827,54.0,29.0,79.0,0.4,0.7815205948710897,65.43523512075576,79.544695648129,0.006894881621885988,965971336239966.1
GW230630_125806,51.0,33.0,80.0,0.18,0.7214483718880278,66.19317403428926,80.4113789273265,0.005142236591581195,833931837479611.4
GW230806_204041,51.0,35.0,82.0,0.08,0.6936635462787795,67.86714026204305,82.32405646747283,0.003951908139912549,753599150128726.1
GW230824_033047,53.0,36.0,84.0,-0.01,0.6630629234324111,70.41971494487083,85.23689207252755,0.014724905625328012,640676345409171.5
GW231230_170116,53.0,35.0,86.0,-0.18,0.6031044577278704,69.58061359416617,84.27985086547966,-0.020001734122329543,662815567644861.2
GW240107_013215,59.0,33.0,87.0,0.32,0.7563616924659583,73.06622713915552,88.25235617760319,0.014394898593140111,699910884996657.4
GW230914_111401,60.0,37.0,91.2,0.12,0.696474227213203,77.28227987401672,93.04710827210425,0.020253380176581695,540562894872050.5
GW230820_212515,62.0,34.0,92.0,0.21,0.7150379533616875,76.49219307521255,92.14939091100071,0.001623814250007697,606084866630973.8
GW231004_232346,64.0,35.0,96.0,-0.04,0.6242223935882427,79.05976267026654,95.0653998613158,-0.009735418111293784,504358546509524.75
GW231102_071736,61.0,42.0,98.0,0.06,0.6874077916595925,82.36642642548149,98.81529813399996,0.008319368714285305,481056325740857.75
GW230708_230935,64.0,40.0,99.0,0.01,0.660448361437541,83.26828191870422,99.83700476551226,0.008454593591032948,449741966046501.2
GW231029_111508,65.0,42.0,101.0,0.14,0.7079495994186341,85.82612565087081,102.73244115497296,0.017152882722504557,441641290811946.2
GW230601_224134,64.0,44.0,102.0,-0.03,0.6577142353851219,86.6565816148931,103.6717793148917,0.016389993283251903,399206315443240.44
GW230819_171910,70.0,35.0,102.0,-0.04,0.6091750982336298,84.26448289423826,100.96509301301528,-0.010146146931222772,431032608685197.2
