event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,Mheld,Rmax_km,rs_km,rplus_km,ratio,ratio_kerr
GW230628_231200,32.5,27.0,56.4,-0.01,0.67866365696036,45.55237577130853,56.63501814024395,0.0041669883021977,1762593924824804.8,10.847624228691465,159.31919875944325,166.60603633809797,144.48485397745137,0.9562630638192043,1.1026705870797153
GW230702_185453,40.0,18.0,57.0,0.05,0.6256621176990206,44.51669798796553,55.43071415743489,-0.0275313305713176,1810433721510407.5,12.483302012034471,166.75974578166267,168.37844097999266,149.86474059312397,0.9903865649966297,1.1127350244071612
GW230609_064958,35.4,25.2,58.0,-0.14,0.625287504320236,46.49707127722817,57.73241499739748,-0.0046135345276297,1582236097152108.5,11.502928722771827,162.41770947504256,171.33244871648375,152.51967255966125,0.9479681793599235,1.0648967883897698
GW230814_230901,33.7,28.2,59.0,-0.01,0.6790245557926518,47.5469034633338,58.95073491020327,-0.0008350015219785,1621991879821083.0,11.453096536666202,162.2155606173699,174.28645645297482,151.1164278497869,0.9307410565268918,1.073447559113929
GW230927_043729,35.0,27.1,59.0,0.01,0.6807450808202368,47.72645180847927,59.15897425880515,0.0026944789627991,1601285311727343.8,11.273548191520732,161.38785701791832,174.28645645297482,150.9774205363841,0.9259919577369069,1.068953598786816
GW231213_111417,35.6,27.2,59.6,0.06,0.6956742617983607,48.31230755700585,59.83819794138494,0.0039966097547808,1594440163180933.2,11.28769244299415,161.4692070464262,176.05886109486948,151.26602139763713,0.9171319525883923,1.0674519337159512
GW230726_002940,35.6,27.9,60.6,-0.02,0.6720804483036129,48.89075334828118,60.508461175796654,-0.0015105416535205,1510918430434503.0,11.709246651718821,163.42320668454076,179.01286883136063,155.78399219913655,0.9129131763063015,1.0490372237709706
GW231206_233134,35.6,28.2,60.6,-0.08,0.6538570141946962,49.13893896424874,60.7959304843839,0.0032331763099653,1437619891963453.8,11.461061035751264,162.2938936754552,179.01286883136063,157.22862605805966,0.9066046186229462,1.0322159376723492
GW230606_004305,37.6,25.7,60.8,-0.11,0.6306863397469549,48.75713269914888,60.35366305744871,-0.0073410681340672,1445296934678005.2,12.042867300851114,164.922168780265,179.6036703786588,159.4914580772327,0.9182561159945075,1.0340501665010957
GW231113_122623,39.8,26.4,63.0,0.33,0.7730234046615082,51.188662434669226,63.16760506778253,0.00266039790131,1643810954928273.2,11.811337565330774,163.9447188715768,186.10248739893925,152.0808592943347,0.8809378163771456,1.0780102087290355
GW231206_233901,37.6,28.5,63.1,-0.05,0.6601174332313459,51.0684365262246,63.0286153219962,-0.0011312944216133,1346792487257654.5,12.0315634737754,164.93020193318335,186.39788817258835,163.20648804102453,0.8848287046067401,1.010561552502285
GW230922_020344,39.3,29.2,65.4,0.03,0.6841197385848624,53.08154606208867,65.35400741690707,-0.0007032505060082,1284914459259440.0,12.318453937911336,166.25063415457413,193.1921059665179,167.05028875812755,0.8605456901193831,0.9952130905639365
GW231129_081745,45.0,23.8,66.0,0.03,0.6446532649666135,53.45996550813459,65.79068486731016,-0.0031714414043914,1195987003202609.2,12.540034491865413,167.2273557062686,194.96451060841252,172.0050115033363,0.857732287709253,0.9722237407194672
GW230825_041334,44.0,27.2,67.0,0.29,0.7545547362915168,55.40582986445322,68.03397622682142,0.0154324809973346,1283698791590463.5,11.594170135546783,163.0673168225153,197.91851834490365,163.89999782659336,0.8239113660822039,0.9949195789193417
GW231008_142521,45.0,25.6,69.0,-0.01,0.6410021625498179,54.937009887156464,67.4938194959155,-0.0218287029577463,1164974806634890.8,14.062990112843536,173.62577940840282,203.82653381788583,180.13568125388855,0.8518310945891536,0.9638611195729152
GW231118_071402,43.0,29.0,69.0,0.12,0.7052448611791696,56.04637075059777,68.7716589711031,-0.0033092902738682,1190272615974411.5,12.953629249402233,169.0658210845768,203.82653381788583,174.16608504214463,0.8294593344536443,0.9707160900106719
GW230831_015414,42.0,30.0,69.0,0.04,0.6841447651582783,56.0285990667647,68.75119711305422,-0.0036058389412432,1149349088973716.0,12.971400933235302,169.14082516295264,203.82653381788583,176.24332511006878,0.8298273144068473,0.9597006017522625
GW230803_033412,44.0,29.0,70.0,0.07,0.6865199819069135,56.89508987217368,69.74852340006353,-0.0035925228562352,1115875504555249.8,13.104910127826322,169.72606744623255,206.78054155437692,178.56646742001175,0.8208028964930426,0.9504923847040921
GW240104_164932,42.3,32.2,70.7,0.09,0.7049317766776109,58.11436940081276,71.15078859891877,0.0063760763637731,1073557988696836.8,12.58563059918724,167.5392050974841,208.8483469699207,178.4896412506358,0.8022050809988641,0.9386494584423808
GW230709_122727,45.0,30.0,71.0,0.08,0.6909638625770611,58.57472548397496,71.67989990062492,0.0095760549383791,1021267605853650.2,12.425274516025041,166.85429729133566,209.73454929086802,180.67470544726032,0.795549888444634,0.9235066794673209
