event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,M_rd,M_outside_choke,R_out_km,rs_km,dM,frac_out
GW230825_041334,44.0,27.2,67.0,0.29,0.7545547362915168,55.40582986445322,68.03397622682142,0.0154324809973346,1283698791590463.5,66.99999999999997,2.717213137202399e-14,163.06731682251527,197.91851834490362,4.242046183642389e-16,4.055541995824476e-16
GW231008_142521,45.0,25.6,69.0,-0.01,0.6410021625498179,54.937009887156464,67.4938194959155,-0.0218287029577463,1164974806634890.8,69.0,9.057377124007997e-15,173.78980377871386,203.82653381788583,0.0,1.312663351305507e-16
GW231118_071402,43.0,29.0,69.0,0.12,0.7052448611791696,56.04637075059777,68.7716589711031,-0.0033092902738682,1190272615974411.5,69.0,9.057377124007997e-15,169.06847955158372,203.82653381788583,0.0,1.312663351305507e-16
GW230831_015414,42.0,30.0,69.0,0.04,0.6841447651582783,56.0285990667647,68.75119711305422,-0.0036058389412432,1149349088973716.0,69.0,0.0,169.1441139859712,203.82653381788583,0.0,0.0
GW230803_033412,44.0,29.0,70.0,0.07,0.6865199819069135,56.89508987217368,69.74852340006353,-0.0035925228562352,1115875504555249.8,70.0,0.0,169.72614276184058,206.78054155437695,0.0,0.0
GW240104_164932,42.3,32.2,70.7,0.09,0.7049317766776109,58.11436940081276,71.15078859891877,0.0063760763637731,1073557988696836.8,70.69999999999999,1.8114754248015995e-14,167.53920509748414,208.8483469699207,2.0100218833383314e-16,2.562200035080056e-16
GW230709_122727,45.0,30.0,71.0,0.08,0.6909638625770611,58.57472548397496,71.67989990062492,0.0095760549383791,1021267605853650.2,70.99999999999999,1.8114754248015995e-14,166.85429729133566,209.73454929086802,2.0015288331270428e-16,2.5513738377487315e-16
GW231127_165300,45.0,28.0,71.0,0.05,0.6735710998987868,56.91674799814302,69.77344324421514,-0.0172754472645754,1124128819202037.6,71.0,0.0,173.80307785996476,209.73454929086802,0.0,0.0
GW231226_101520,40.2,35.1,71.6,-0.08,0.6591957177628526,58.762984518029526,71.89622391506423,0.0041372055176568,976993046915805.8,71.59999999999997,2.717213137202399e-14,168.63494096009984,211.50695393276266,3.9695124902798896e-16,3.7949904150871495e-16
GW231221_135041,47.0,29.0,73.0,0.01,0.6588818070339559,59.44738992242581,72.68240656221425,-0.0043505950381609,971916316682812.0,72.99999999999997,2.717213137202399e-14,171.65145215600015,215.6425647638502,3.893384853480001e-16,3.7222097769895874e-16
GW231223_032836,46.0,31.0,73.0,-0.16,0.6123998829600706,60.25706991066545,73.61199031093815,0.008383428916961,855657819038882.6,72.99999999999997,2.717213137202399e-14,168.2687345834066,215.6425647638502,3.893384853480001e-16,3.7222097769895874e-16
GW230608_205047,48.0,31.0,75.0,0.04,0.6743630540915978,61.961552626668094,75.56714614764594,0.0075619486352792,882727019064900.9,74.99999999999997,2.717213137202399e-14,169.5669124571697,221.5505802368324,3.789561257387201e-16,3.6229508496031984e-16
GW230707_124047,46.1,36.3,78.0,-0.05,0.6629243342463322,64.77521645544806,78.78963916277954,0.010123579009994,780754141861024.2,77.99999999999997,1.8114754248015995e-14,170.41657081663598,230.4126034463057,3.643808901333847e-16,2.322404390771281e-16
GW231119_075248,49.0,33.0,79.0,0.0,0.6654840531596173,64.48315904093393,78.45542469891356,-0.0068933582416004,827601112705186.0,78.99999999999997,2.717213137202399e-14,175.64738072594403,233.3666111827968,3.5976847380258237e-16,3.439510300256201e-16
GW230928_215827,54.0,29.0,79.0,0.4,0.7815205948710897,65.43523512075576,79.544695648129,0.0068948816218859,965971336239966.0,78.99999999999997,2.717213137202399e-14,171.84116067464598,233.3666111827968,3.5976847380258237e-16,3.439510300256201e-16
GW230630_125806,51.0,33.0,80.0,0.18,0.7214483718880278,66.19317403428926,80.4113789273265,0.0051422365915811,833931837479611.4,79.99999999999997,2.717213137202399e-14,172.8478625001775,236.32061891928794,3.552713678800501e-16,3.3965164215029984e-16
GW230806_204041,51.0,35.0,82.0,0.08,0.6936635462787795,67.86714026204305,82.32405646747283,0.0039519081399125,753599150128726.1,81.99999999999999,1.8114754248015995e-14,174.20034666155186,242.22863439227012,1.7330310628295127e-16,2.2091163717092677e-16
GW230824_033047,53.0,36.0,84.0,-0.01,0.6630629234324111,70.41971494487083,85.23689207252755,0.014724905625328,640676345409171.5,83.99999999999999,1.8114754248015995e-14,172.02092233949958,248.13664986525228,1.691768418476429e-16,2.1565183628590469e-16
GW231230_170116,53.0,35.0,86.0,-0.18,0.6031044577278704,69.58061359416617,84.27985086547966,-0.0200017341223295,662815567644861.2,85.99999999999997,1.8114754248015995e-14,182.93901541804453,254.0446653382345,3.304849933767908e-16,2.1063667730251157e-16
GW240107_013215,59.0,33.0,87.0,0.32,0.7563616924659583,73.06622713915552,88.25235617760319,0.0143948985931401,699910884996657.4,86.99999999999999,1.8114754248015995e-14,173.51929019417295,256.9986730747256,1.6334315764600004e-16,2.0821556606914937e-16
GW230914_111401,60.0,37.0,91.2,0.12,0.696474227213203,77.28227987401672,93.04710827210424,0.0202533801765816,540562894872050.5,91.19999999999997,1.8114754248015995e-14,173.5509311617467,269.4055055679882,3.1164155077197375e-16,1.9862669131596486e-16
