Name,Type,survey,inc,Rad,g_obs,g_bar,shared,locked
WISEAJ011415.69+153813.6,Sa(f),SCII,83.6960461915046,14.751509727292564,6.418740268637558e-11,4.9509257133866367e-14,0.9872473754549694,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,0.3544103090684313,2.11590825454086e-11,2.939129082397817e-13,0.8546914845684442,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,1.063230927205294,3.707921010403598e-11,1.072071439541008e-12,0.7595530432102927,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,1.7720515453421568,5.58658029810678e-11,1.6175663569523689e-12,0.6893832862617807,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,2.4808721634790194,6.296667281413479e-11,2.079297793491769e-12,0.6633538474104343,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,3.189692781615882,6.855397606249089e-11,2.643329449335962e-12,0.5814130439382375,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,3.898513399752745,6.556848693590948e-11,3.088100569117444e-12,0.5281975104984754,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,4.607334017889608,6.170389975599627e-11,2.8784701941969997e-12,0.449197519639094,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,5.31615463602647,5.965006846205222e-11,2.8823809729339345e-12,0.5220142135247091,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,6.024975254163333,5.945028020520998e-11,2.077806217550337e-12,0.5810273073442752,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,6.733795872300195,5.7830285736298575e-11,2.648572951219198e-12,0.3805390879302804,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,7.442616490437057,5.2060800717600076e-11,2.976763885683732e-12,0.3246413704451443,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,8.151437108573921,4.734663886087696e-11,2.510104221367405e-12,0.3123375571499317,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,8.860257726710785,4.0356005065961726e-11,1.5564411658465117e-12,0.5623503571907755,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,9.569078344847648,3.4994211371064015e-11,1.780544472710736e-12,0.4950601022088242,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,10.277898962984509,3.206833737804176e-11,2.629251330909434e-12,0.2887016930871273,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,10.986719581121372,2.988097662637431e-11,3.0645312234657552e-12,0.1710740902349641,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,11.695540199258234,2.7806166845495883e-11,1.235984425952507e-12,0.5226124140353562,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,12.404360817395098,2.977342151573116e-11,2.279185465484372e-12,0.2083811048752283,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,13.218595783870262,2.963760151021845e-11,2.3336758859183663e-12,0.113399173861486,0.0
WISEAJ011432.83+010014.0,Sc(f),SCII,83.01536432468389,14.003750930114172,2.676604723596838e-11,1.3876382897224705e-12,0.3180872947368723,0.0
WISEAJ011443.86+001709.8,Se,SCII,52.57771182202625,0.2851471705492126,1.6708183630981135e-10,5.209208008642045e-13,0.9813418026323631,0.0
WISEAJ011443.86+001709.8,Se,SCII,52.57771182202625,0.8383700252910901,1.0482055516096954e-10,1.90640923155798e-11,0.7655358768277278,0.0
