Name,Type,Rad,g_obs,g_bar,locked,Vobs
UGC 07045,SAc,2.0149999999999997,2.277552134879487e-10,1.4152255285433746e-10,0.12754620343055662,119.0
UGC 07045,SAc,2.42,2.0674112900474254e-10,1.325818474702069e-10,0.10333769546976057,124.25
UGC 07045,SAc,2.7287500000000002,2.1047714667716642e-10,1.2560035016456114e-10,0.09054051535875031,133.125
UGC 07045,SAc,3.05,2.0863197372267707e-10,1.183142630893665e-10,0.0805624831627833,140.125
UGC 07045,SAc,3.4180000000000006,1.9334538544664478e-10,1.1008462032808927e-10,0.07200189121781703,142.8
UGC 07045,SAc,3.7740000000000005,1.8354489262181023e-10,1.0236299188805787e-10,0.06575724686894105,146.2
UGC 07045,SAc,4.15,1.7290486792885552e-10,9.456043697952073e-11,0.060703656202590904,148.8
UGC 07045,SAc,4.526,1.7025648091883318e-10,8.71848821462945e-11,0.0568054753848464,154.2
UGC 07045,SAc,4.87,1.605646058358614e-10,8.084283933800252e-11,0.05399822869003042,155.33333333333334
UGC 07045,SAc,5.2325,1.435670644587214e-10,7.459310547200123e-11,0.051644172946705084,152.25
UGC 07045,SAc,5.6049999999999995,1.443404356497576e-10,6.863445995452016e-11,0.04973234312350584,158.0
UGC 07045,SAc,5.952857142857143,1.3752565433881016e-10,6.348514447077716e-11,0.048316759347378675,158.9387755102041
UGC 07045,SAc,6.519999999999999,1.225183569102978e-10,5.590974838635271e-11,0.04660540554455451,157.0
UGC 07045,SAc,7.23,1.1763625404173986e-10,4.774525354804338e-11,0.045242377783592,162.0
UGC 07154,SABd,0.5185185185185185,1.114210784275634e-10,2.0273434961043239e-10,0.9412098026555321,42.22222222222222
UGC 07154,SABd,1.2685000000000002,8.446847872073654e-11,1.0379707853823678e-10,0.8179798238370708,57.5
UGC 07154,SABd,2.1336879432624114,8.275893503393827e-11,5.255696295662217e-11,0.5744437503650264,73.81560283687944
UGC 07154,SABd,2.935,7.791120499597765e-11,3.9415944256012564e-11,0.4048101845125664,84.0
UGC 07154,SABd,3.67,6.330067109833263e-11,3.366541664989018e-11,0.3031261853670118,84.66666666666667
UGC 07154,SABd,4.51,6.553595856885802e-11,2.952839621998868e-11,0.2288477427176757,95.5
UGC 07154,SABd,5.345,5.0393427419985395e-11,2.647535148006687e-11,0.1817198723255828,91.16666666666667
UGC 07154,SABd,6.14,4.991835941144247e-11,2.4049769586479322e-11,0.1515974563477333,97.25
UGC 07154,SABd,6.986,5.173074225184413e-11,2.1781640592904944e-11,0.12929800565369798,105.6
UGC 07154,SABd,7.806666666666667,4.562287072498783e-11,1.9806651792166758e-11,0.11386683199527083,104.83333333333333
UGC 07154,SABd,8.684444444444445,4.8686507742183755e-11,1.78959460798638e-11,0.10183588252106747,114.22222222222223
UGC 07154,SABd,9.365,5.1590887737902034e-11,1.6541947094276535e-11,0.09474087372406415,122.1
UGC 07154,SABd,10.17,4.7235274293155764e-11,1.507183050468062e-11,0.0881721983961803,121.75
UGC 07154,SABd,11.051428571428572,4.3137039308073347e-11,1.3613347338799597e-11,0.08266807196809979,121.28571428571429
UGC 07154,SABd,11.73,4.583351540961631e-11,1.2590338430402507e-11,0.07934254888423019,128.8
UGC 07154,SABd,12.5,5.3016556551878255e-11,1.15269008236925e-11,0.07631448783952975,143.0
UGC 07154,SABd,13.496666666666666,5.259523059223713e-11,1.029179774373733e-11,0.07331541371517235,148.0
UGC 07154,SABd,14.49,4.383662806977885e-11,9.20446418052656e-12,0.07112205449648853,140.0
UGC 07154,SABd,15.155,3.586187982765052e-11,8.548958472967171e-12,0.07000265109080814,129.5
UGC 07154,SABd,15.717916666666667,3.529322018640889e-11,8.035647763422791e-12,0.06923548218892422,130.83333333333334
UGC 07154,SABd,16.35,2.6671514445726834e-11,7.501385234982846e-12,0.0685429186297087,116.0
UGC 07831,SBc pec,0.21684615384615386,7.177875563440748e-11,1.3310198371777638e-11,0.0,21.915384615384614
UGC 07831,SBc pec,0.4705777777777778,1.0692012857020089e-10,1.7307245919544255e-11,0.0,39.40222222222222
UGC 07831,SBc pec,0.7471698113207547,1.2905492494968822e-10,1.787678581625819e-11,0.0,54.54716981132076
UGC 07831,SBc pec,1.0395161290322579,1.4347405743397238e-10,1.6791953332706745e-11,0.0,67.83870967741936
UGC 07831,SBc pec,1.3244736842105262,1.364783332496656e-10,1.5113506854644002e-11,0.0,74.6842105263158
UGC 07831,SBc pec,1.63625,1.2465542963842568e-10,1.3118973846816159e-11,0.0,79.33333333333333
UGC 07831,SBc pec,1.9491304347826088,1.1251104127059299e-10,1.1210887945905768e-11,0.0,82.26086956521739
