domain,choke_used,choke_z,choke_percentile
A1_interstellar_filament,choke_F2,-1.202118555858939,0.072992700729927
A1_interstellar_filament,choke_F2,-0.8977026337179667,0.13138686131386862
A1_interstellar_filament,choke_F2,1.5737770303658607,0.9781021897810219
A1_interstellar_filament,choke_F2,-1.0459465198933444,0.10948905109489052
A1_interstellar_filament,choke_F2,-2.1370309578087223,0.029197080291970802
A1_interstellar_filament,choke_F2,-0.9994389512247368,0.11678832116788321
A1_interstellar_filament,choke_F2,-1.3386415784340624,0.058394160583941604
A1_interstellar_filament,choke_F2,0.3295377883286592,0.6204379562043796
A1_interstellar_filament,choke_F2,-1.1256097763826856,0.08759124087591241
A1_interstellar_filament,choke_F2,-1.4188876876936274,0.051094890510948905
A1_interstellar_filament,choke_F2,-1.108151265938605,0.0948905109489051
A1_interstellar_filament,choke_F2,-1.2771126969569508,0.06569343065693431
A1_interstellar_filament,choke_F2,-1.0707474381290654,0.10218978102189781
A1_interstellar_filament,choke_F2,0.577950697038275,0.7956204379562044
A1_interstellar_filament,choke_F2,-0.36106454416487255,0.2773722627737226
A1_interstellar_filament,choke_F2,1.3607235860467641,0.9635036496350365
A1_interstellar_filament,choke_F2,0.3528839319845438,0.635036496350365
A1_interstellar_filament,choke_F2,0.8259432059977074,0.8832116788321168
A1_interstellar_filament,choke_F2,-0.4154229100095141,0.25547445255474455
A1_interstellar_filament,choke_F2,-0.5590196742392793,0.20437956204379562
A1_interstellar_filament,choke_F2,0.31013991780954453,0.6058394160583942
A1_interstellar_filament,choke_F2,0.7839927403829388,0.8613138686131386
A1_interstellar_filament,choke_F2,-0.5115914621047337,0.2116788321167883
A1_interstellar_filament,choke_F2,-0.6543496600356545,0.17518248175182483
A1_interstellar_filament,choke_F2,0.5091337512461033,0.7372262773722628
A1_interstellar_filament,choke_F2,0.7575315206990889,0.8540145985401459
A1_interstellar_filament,choke_F2,0.9708370109680384,0.9124087591240876
A1_interstellar_filament,choke_F2,-0.4474481297131965,0.24817518248175183
A1_interstellar_filament,choke_F2,-0.3500190876757399,0.31386861313868614
A1_interstellar_filament,choke_F2,0.5037127782426787,0.7226277372262774
A1_interstellar_filament,choke_F2,-0.08543615900700147,0.43795620437956206
A1_interstellar_filament,choke_F2,-0.7340602022104027,0.15328467153284672
A1_interstellar_filament,choke_F2,0.5124857123632001,0.7445255474452555
A1_interstellar_filament,choke_F2,0.4010763315307289,0.6715328467153284
A1_interstellar_filament,choke_F2,-0.05438227404992925,0.45985401459854014
A1_interstellar_filament,choke_F2,-0.21005594538143568,0.3795620437956204
A1_interstellar_filament,choke_F2,0.0898338743319672,0.49635036496350365
A1_interstellar_filament,choke_F2,-0.23648269182637027,0.35036496350364965
A1_interstellar_filament,choke_F2,0.3967438958180883,0.6642335766423357
A1_interstellar_filament,choke_F2,-0.4734952305933705,0.21897810218978103
A1_interstellar_filament,choke_F2,0.5577213076731901,0.781021897810219
A1_interstellar_filament,choke_F2,0.2516168830945465,0.583941605839416
A1_interstellar_filament,choke_F2,0.09224438253157277,0.5036496350364964
A1_interstellar_filament,choke_F2,-0.0427335444818799,0.4744525547445255
A1_interstellar_filament,choke_F2,1.2435656596516012,0.9416058394160584
A1_interstellar_filament,choke_F2,0.32388632133204803,0.6131386861313869
A1_interstellar_filament,choke_F2,-0.4127132657815676,0.26277372262773724
A1_interstellar_filament,choke_F2,0.9470438243853754,0.9051094890510949
A1_interstellar_filament,choke_F2,0.09240171510416216,0.5109489051094891
A1_interstellar_filament,choke_F2,0.4740706331505929,0.6861313868613139
A1_interstellar_filament,choke_F2,0.3879269806026956,0.656934306569343
A1_interstellar_filament,choke_F2,0.539153124599563,0.7591240875912408
A1_interstellar_filament,choke_F2,-0.15539122378484957,0.40145985401459855
A1_interstellar_filament,choke_F2,1.3861180305102916,0.9708029197080292
A1_interstellar_filament,choke_F2,1.2823654230423243,0.9562043795620438
A1_interstellar_filament,choke_F2,0.9846835007153687,0.9197080291970803
A1_interstellar_filament,choke_F2,-0.46566375921226594,0.22627737226277372
A1_interstellar_filament,choke_F2,-0.45660732127255577,0.24087591240875914
A1_interstellar_filament,choke_F2,-0.46013607836771614,0.23357664233576642
A1_interstellar_filament,choke_F2,-0.22726520896799385,0.36496350364963503
A1_interstellar_filament,choke_F2,1.1705256202906105,0.9343065693430657
A1_interstellar_filament,choke_F2,1.8502689609361904,0.9854014598540146
A1_interstellar_filament,choke_F2,2.035163923719754,0.9927007299270073
A1_interstellar_filament,choke_F2,0.6102634635498648,0.8102189781021898
A1_interstellar_filament,choke_F2,-0.12011430794813698,0.41605839416058393
A1_interstellar_filament,choke_F2,0.8788258634344392,0.8978102189781022
A1_interstellar_filament,choke_F2,0.5180198528320701,0.7518248175182481
A1_interstellar_filament,choke_F2,0.5556291490899946,0.7737226277372263
A1_interstellar_filament,choke_F2,-2.712478110242555,0.014598540145985401
A1_interstellar_filament,choke_F2,4.0842736640640265,1.0
A1_interstellar_filament,choke_F2,0.1106956169775049,0.5182481751824818
A1_interstellar_filament,choke_F2,0.3536307488677009,0.6423357664233577
A1_interstellar_filament,choke_F2,-1.9200916965299393,0.0364963503649635
A1_interstellar_filament,choke_F2,-2.6439665674863466,0.021897810218978103
A1_interstellar_filament,choke_F2,-5.780729321504353,0.0072992700729927005
A2_intergalactic_filament,choke_F1,-1.553741931872016,0.03417417806886713
A2_intergalactic_filament,choke_F1,-2.5344338329197456,0.0001296932754036703
A2_intergalactic_filament,choke_F1,-1.1772448847125918,0.11114713702094546
A2_intergalactic_filament,choke_F1,-1.9214959441627582,0.005511964204655989
A2_intergalactic_filament,choke_F1,-0.6592416662801777,0.28798391803384993
A2_intergalactic_filament,choke_F1,-2.3018699452661955,0.0005836197393165165
A2_intergalactic_filament,choke_F1,-1.4261762944759082,0.0546008689449452
A2_intergalactic_filament,choke_F1,-1.3477108113000955,0.07009921535568381
A2_intergalactic_filament,choke_F1,-2.0511829221297333,0.002075092406458725
A2_intergalactic_filament,choke_F1,-1.3821381968487667,0.06329031839699112
A2_intergalactic_filament,choke_F1,-1.0149832006034343,0.16146812787756956
A2_intergalactic_filament,choke_F1,-1.826270456731777,0.009532455742169769
A2_intergalactic_filament,choke_F1,-1.7711415872288108,0.012969327540367032
A2_intergalactic_filament,choke_F1,-2.053612512411028,0.00201024576875689
A2_intergalactic_filament,choke_F1,-1.9184693961564065,0.00577135075546333
A2_intergalactic_filament,choke_F1,-1.2259475432671443,0.09824265611828027
A2_intergalactic_filament,choke_F1,-1.938738894080734,0.004863497827637637
A2_intergalactic_filament,choke_F1,-1.5499139077429742,0.03488749108358732
A2_intergalactic_filament,choke_F1,-1.1740640853325177,0.11224952986187667
A2_intergalactic_filament,choke_F1,-1.4124138548895318,0.05706504117761494
A2_intergalactic_filament,choke_F1,-1.8823799487902277,0.007262823422605538
A2_intergalactic_filament,choke_F1,-1.4334709391466072,0.05349847610401401
A2_intergalactic_filament,choke_F1,-1.6645983893377394,0.02198301018092212
A2_intergalactic_filament,choke_F1,-0.7792291017266664,0.24421243758511121
A2_intergalactic_filament,choke_F1,-1.5643398531051143,0.0332014785033396
A2_intergalactic_filament,choke_F1,-1.40039422247931,0.05894559367096816
A2_intergalactic_filament,choke_F1,-1.6398899693023083,0.02503080215290837
A2_intergalactic_filament,choke_F1,-1.0742819348009138,0.14298683613254654
A2_intergalactic_filament,choke_F1,-1.1513275825551013,0.12178198560404643
A2_intergalactic_filament,choke_F1,-1.4975582745648033,0.0424097010570002
A2_intergalactic_filament,choke_F1,-0.976192808606923,0.17683678101290448
A2_intergalactic_filament,choke_F1,-1.4547391038036968,0.05006160430581674
A2_intergalactic_filament,choke_F1,-1.536313183647026,0.03657350366383503
A2_intergalactic_filament,choke_F1,-1.5394707030831019,0.03605473056222035
A2_intergalactic_filament,choke_F1,-0.9923746413755673,0.17009273069191364
A2_intergalactic_filament,choke_F1,-1.1425959634491598,0.1232086116334868
A2_intergalactic_filament,choke_F1,-1.3762708837559015,0.06543025744115168
A2_intergalactic_filament,choke_F1,-0.9842236238225336,0.17385383567862006
A2_intergalactic_filament,choke_F1,-1.8467623143532155,0.008819142727449582
A2_intergalactic_filament,choke_F1,-0.9395449950248704,0.18487776408793205
A2_intergalactic_filament,choke_F1,-1.635254626874712,0.025549575254523053
A2_intergalactic_filament,choke_F1,-1.7485686546839896,0.01446080020750924
A2_intergalactic_filament,choke_F1,-0.9384801245361446,0.18526684391414305
A2_intergalactic_filament,choke_F1,-1.130569556597193,0.1258024771415602
A2_intergalactic_filament,choke_F1,-1.3279387383585712,0.07327670060307373
A2_intergalactic_filament,choke_F1,-1.8113013711473593,0.010375462032293626
A2_intergalactic_filament,choke_F1,-1.542233612876706,0.03573049737371117
A2_intergalactic_filament,choke_F1,-1.8255854088899235,0.009597302379871603
A2_intergalactic_filament,choke_F1,-1.519203116554726,0.038810712664548344
A2_intergalactic_filament,choke_F1,-1.16214774523955,0.118409960443551
A2_intergalactic_filament,choke_F1,-1.6236500196209531,0.026716814733156086
A2_intergalactic_filament,choke_F1,-1.676808517709623,0.020686077426885417
A2_intergalactic_filament,choke_F1,-1.134099291643243,0.12482977757603268
A2_intergalactic_filament,choke_F1,-1.2533191136010091,0.0922119188120096
A2_intergalactic_filament,choke_F1,-1.0399661376260474,0.15281110174437457
A2_intergalactic_filament,choke_F1,-2.2360825970720577,0.0007133130147201868
A2_intergalactic_filament,choke_F1,-1.0348086398915406,0.15504831074508788
A2_intergalactic_filament,choke_F1,-1.6719514472384187,0.021140003890798263
A2_intergalactic_filament,choke_F1,-1.3504939225806403,0.06996952208028014
A2_intergalactic_filament,choke_F1,-1.7241296587983619,0.016146812787756953
A2_intergalactic_filament,choke_F1,-2.0611785913729954,0.0018157058556513845
A2_intergalactic_filament,choke_F1,-1.626868172858919,0.02639258154464691
A2_intergalactic_filament,choke_F1,-1.8174104062841734,0.01005122884378445
A2_intergalactic_filament,choke_F1,-1.1479351431207307,0.12236560534336295
A2_intergalactic_filament,choke_F1,-1.4272913274828543,0.054536022307243366
A2_intergalactic_filament,choke_F1,-1.0333863206606113,0.15628039686142273
A2_intergalactic_filament,choke_F1,-1.037328104641588,0.15452953764347319
A2_intergalactic_filament,choke_F1,-1.6976007063448255,0.018870371571234033
A2_intergalactic_filament,choke_F1,-1.7320409620812898,0.015887426236949616
A2_intergalactic_filament,choke_F1,-0.8318365028881556,0.225017832825368
A2_intergalactic_filament,choke_F1,-1.7518371290487469,0.0142014136567019
A2_intergalactic_filament,choke_F1,-1.3172471867805098,0.07587056611114713
A2_intergalactic_filament,choke_F1,-1.0316403107467849,0.15692886323844107
