ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
144.0,326.66,0.6,1.8,6.9,40.7,15.4,409.7,5.3,1.8,13.7,34.0,5.52,2.31,26.7,0.55,0.92,"S,X",0.55,5.830951894845301,5.3,0.10616488179451894,0.09432422182837986,27.457290496889105
145.0,326.46,0.85,1.8,6.9,48.7,5.8,221.1,5.0,1.3,13.3,36.7,7.02,2.66,24.3,0.49,0.62,"S,X",0.49,6.058052492344384,5.0,0.10065109596379743,0.08088407959805853,24.341513388798326
146.0,345.24,1.04,2.4,6.1,63.4,7.8,548.7,3.8,1.8,16.3,41.5,7.16,4.08,7.4,0.52,0.88,"S,X",0.52,6.442049363362563,3.8,0.11468984322826986,0.08071965467345861,17.229075778463844
149.0,323.88,0.03,10.0,5.9,14.0,62.5,1015.2,1.5,1.5,12.1,25.9,5.23,2.69,14.7,0.36,0.17,S  ,0.36,5.089204259999788,1.5,0.16879883153206943,0.07073797427026735,3.1990742773441982
151.0,321.07,-0.52,9.3,5.9,-73.1,53.8,1207.8,0.8,1.2,18.5,30.2,3.76,3.2,6.9,0.46,0.24,"C,X",0.46,5.495452665613635,0.8,0.11383017673229841,0.08370557040338648,3.2328861341000006
152.0,320.28,-0.3,8.6,5.8,-32.3,61.0,1309.4,1.1,1.5,16.6,31.8,10.21,3.76,8.5,0.45,0.22,S  ,0.45,5.639148871948674,1.1,0.15374249438792703,0.07979927648983973,3.219669369686453
153.0,320.4,0.13,12.5,8.1,35.1,81.6,1944.9,0.6,1.4,12.1,30.8,3.33,2.63,4.7,0.55,0.27,C  ,0.55,5.549774770204643,0.6,0.07821563508355989,0.09910312089651149,4.219105293301679
154.0,320.17,0.83,2.4,6.7,56.0,4.7,350.8,3.5,1.4,14.1,33.5,2.67,1.75,8.3,0.62,0.84,"C,X",0.62,5.787918451395113,3.5,0.1015078597417439,0.10711968477208865,21.377654947320433
155.0,317.66,0.1,2.8,6.6,26.1,17.6,1416.6,15.0,5.7,11.6,23.5,3.59,3.08,7.9,0.4,0.38,C  ,0.4,4.847679857416329,15.0,0.12749039051748903,0.08251369970070348,47.06237054922916
156.0,316.77,-0.02,2.5,6.7,20.6,48.3,1898.4,14.7,6.5,14.6,29.4,5.5,2.55,13.9,0.51,0.8,"X,H",0.51,5.422176684690384,14.7,0.12852664428501895,0.09405816697932298,58.33031774621575
157.0,314.23,0.3,4.2,6.2,41.9,14.1,545.2,4.1,1.8,14.0,32.8,5.09,3.7,13.9,0.35,0.53,L  ,0.35,5.727128425310541,4.1,0.12863685720748233,0.06111265087983809,11.155434228974082
159.0,309.92,0.39,5.5,6.4,56.4,27.3,793.4,1.7,1.4,16.7,35.1,4.58,3.04,9.8,0.31,0.13,"L,X",0.31,5.92452529743945,1.7,0.11029778565611052,0.05232486729932277,4.777974434075179
160.0,309.15,-0.3,3.5,6.7,2.6,16.2,740.9,9.2,3.2,10.4,19.4,4.08,2.56,15.3,0.24,0.39,"C,X",0.24,4.404543109109048,9.2,0.14491338677542123,0.05448919310237997,15.23668757684779
161.0,305.55,-0.01,3.8,6.9,20.8,15.4,631.3,2.7,1.6,17.7,30.0,7.14,2.8,9.8,0.45,0.52,C  ,0.45,5.477225575051661,2.7,0.1212264205102026,0.08215838362577492,10.02256764562098
162.0,305.22,0.0,3.8,6.9,21.3,29.3,722.2,2.3,1.6,12.3,42.1,4.94,2.7,14.4,0.55,0.69,"S,X",0.55,6.488451279003334,2.3,0.12082300517426114,0.08476599058080365,10.469860422487505
,5.37,-1.23,1.3,1.3,-99.0,1.7,162.0,0.6,0.9,8.5,14.5,2.09,1.51,2.9,0.14,0.06,-  ,0.14,3.8078865529319543,0.6,0.3564973147448832,0.036765801200722315,0.2356258982206139
,354.64,1.43,19.7,11.6,81.8,525.0,7324.3,21.4,6.5,22.1,53.0,26.81,11.36,133.4,0.62,1.75,-  ,0.62,7.280109889280518,21.4,0.021076026956559513,0.0851635496481872,629.5304151653966
,320.4,-0.07,4.2,5.4,11.1,31.8,1070.3,4.0,2.5,13.3,28.0,4.91,2.63,10.2,0.31,0.47,-  ,0.31,5.291502622129181,4.0,0.19852164482556434,0.05858449331643022,6.246170290849418
,202.39,-0.07,5.3,5.2,10.3,65.0,1443.8,5.0,2.7,13.5,29.4,6.18,3.21,14.6,0.35,0.53,-  ,0.35,5.422176684690384,5.0,0.2113201593998074,0.06454972243679027,8.281273329389677
,155.33,0.36,3.3,1.4,26.1,89.2,1174.6,3.7,1.1,2.8,7.2,3.65,1.8,15.3,0.09,0.32,-  ,0.09,2.6832815729997477,3.7,0.5632678551220046,0.03354101966249684,0.5911929767905391
,359.72,0.49,1.3,0.2,-0.6,2.8,2.1,1.6,1.0,0.4,0.8,2.31,2.07,4.3,0.15,0.89,-  ,0.15,0.8944271909999159,1.6,0.9406888460558217,0.16770509831248423,0.255132184256555
,358.1,2.2,1.6,2.3,2.9,8.4,5.6,3.4,0.7,-0.5,1.0,7.45,4.85,24.8,-0.5,0.67,-  ,0.001,1.0,3.4,0.5084053632368141,0.001,0.006687576972739934
