ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,Y5R500,e_Y5R500,SNR,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness_tsz,ambient_smoothing_proxy,choke_L1_tsz,choke_L2_tsz
252,RMJ000158.5+120358.0,0.4936709,12.0661176,0.2113,83.48,123,56.517,1.633391,0.575151,5.39621,274.10498229610994,4.855670531475153e-08,83.48,1.633391,4.855670531475153e-08,2808169948.8489633,33638835.03652328
1181,RMJ235542.6+112035.6,358.927533,11.3432168,0.0814,42.52,55,34.259,4.4016,2.253593,6.17091,137.84275728479716,3.818107436384016e-07,42.52,4.4016,3.818107436384016e-07,490180109.17274857,11528224.580732564
935,RMJ005936.8+131020.8,14.9031966,13.172453,0.4918,148.44,101,76.5,4.757322,1.763915,4.91616,574.6150826792222,5.270707749344105e-09,148.44,4.757322,5.270707749344105e-09,133981414121.8279,902596430.3545399
696,RMJ012141.4+200538.5,20.4224603,20.0940183,0.1943,57.03,92,44.183,1.081584,0.276001,5.17925,286.8798138655965,4.235454578583571e-08,57.03,1.081584,4.235454578583571e-08,1456342746.1103377,25536432.51114041
3056,RMJ001833.6+162616.0,4.6399311,16.437787,0.5697,143.68,85,66.161,3.36988,0.661946,9.68021,583.4662696101601,5.034458170694063e-09,143.68,3.36988,5.034458170694063e-09,96174075140.49306,669362995.1314939
7,RMJ003208.2+180625.3,8.0342646,18.1070239,0.3976,248.39,255,135.335,2.049202,0.7265,7.71289,385.4787803275368,1.7458164102583825e-08,248.39,2.049202,1.7458164102583825e-08,29155487472.171677,117377863.3285224
715,RMJ001003.5+174614.9,2.5144303,17.7708166,0.1732,47.36,67,35.617,0.848274,0.231566,4.54273,223.71820491428468,8.930916360708924e-08,47.36,0.848274,8.930916360708924e-08,449833533.50776446,9498174.271701109
185,RMJ004949.8+242702.0,12.4576298,24.4505486,0.0902,70.51,82,58.003,2.847768,1.150706,5.44079,193.33534061448393,1.3837774732398394e-07,70.51,2.847768,1.3837774732398394e-07,1451072340.4817095,20579667.288068492
708,RMJ005123.6+260452.3,12.8482121,26.0812027,0.3459,80.92,148,55.006,3.077069,1.85899,4.8597,233.23244803887616,7.881939333957282e-08,80.92,3.077069,7.881939333957282e-08,3159075614.896753,39039491.039257936
71,RMJ005600.3+262032.3,14.0010762,26.3422967,0.1961,112.92,168,85.652,6.635396,1.024155,12.77239,240.12368593202444,7.222623828454217e-08,112.92,6.635396,7.222623828454217e-08,10373915824.996777,91869605.25147694
235,RMJ005138.6+271959.9,12.9108655,27.3333032,0.3815,140.2,230,92.577,3.864752,1.580388,5.96681,264.1581938352382,5.425099909067883e-08,140.2,3.864752,5.425099909067883e-08,9987617545.88767,71238356.24741563
1290,RMJ231643.0+124654.6,349.1789923,12.781835,0.5206,147.64,100,71.522,1.224875,0.474476,4.86368,638.6445558076117,3.839037523208647e-09,147.64,1.224875,3.839037523208647e-09,47105698734.83664,319057834.8336267
46,RMJ230707.5+163246.1,346.7812456,16.5461289,0.2477,130.17,198,93.613,3.891187,1.366717,6.85355,303.73148903386317,3.568868468384909e-08,130.17,3.891187,3.568868468384909e-08,14192616407.049139,109031392.8481919
502,RMJ233424.1+175923.5,353.6003927,17.9898659,0.4438,139.62,137,76.731,4.747108,2.811304,6.02218,444.43142697793326,1.1391625928918926e-08,139.62,4.747108,1.1391625928918926e-08,58182319459.545265,416719090.8146774
62,RMJ224158.1+173303.7,340.4920315,17.5510363,0.3235,126.3,222,93.012,2.829814,1.128101,6.15549,364.2562879418909,2.0690873597454602e-08,126.3,2.829814,2.0690873597454602e-08,17273582312.34703,136766289.09221718
116,RMJ001941.3+251807.3,4.9222222,25.3020373,0.3709,147.34,233,102.824,2.428331,0.640599,8.15114,279.56455232114587,4.5767131007337364e-08,147.34,2.428331,4.5767131007337364e-08,7817625480.667321,53058405.59703625
1564,RMJ002136.8+280301.8,5.4033491,28.0504995,0.0955,45.17,52,30.494,2.80627,1.667578,4.77789,192.5451362276076,1.4008845387443502e-07,45.17,2.80627,1.4008845387443502e-07,904851273.5647552,20032129.14688411
100,RMJ002037.2+283934.2,5.154802,28.6594869,0.0965,80.72,105,64.152,5.7974,1.280603,9.35778,195.10621520450584,1.3464390140913484e-07,80.72,5.7974,1.3464390140913484e-07,3475583543.7211347,43057278.787427336
290,RMJ001051.4+290940.2,2.7141366,29.161154,0.3485,105.1,181,74.457,1.90293,0.716564,5.09694,324.10902294179635,2.9371534401610564e-08,105.1,1.90293,2.9371534401610564e-08,6809243952.506386,64788239.319756284
203,RMJ001145.3+322456.4,2.9386063,32.4156567,0.1038,79.64,99,49.261,5.843149,1.431843,8.14862,214.2555263619215,1.0167259355951917e-07,79.64,5.843149,1.0167259355951917e-07,4576930420.168587,57470246.36073062
671,RMJ002008.5+345118.2,5.0354618,34.8550474,0.4585,141.36,158,79.393,2.009801,0.832265,4.54319,462.1893301852374,1.0128386221975829e-08,141.36,2.009801,1.0128386221975829e-08,28050418214.065422,198432500.0995007
783,RMJ235035.1+292944.4,357.6462178,29.4956682,0.1611,57.7,82,36.919,2.890291,1.227277,5.15654,244.06303172019634,6.87850401064339e-08,57.7,2.890291,6.87850401064339e-08,2424506701.485531,42019180.26838008
1317,RMJ232626.2+292152.7,351.6089766,29.3646309,0.2367,68.39,121,48.563,1.893279,0.773734,6.04112,313.55564523506115,3.243815371192672e-08,68.39,1.893279,3.243815371192672e-08,3991637500.700074,58365806.41468159
96,RMJ232104.1+291134.5,350.2672745,29.192915,0.4944,238.78,161,121.254,1.934558,0.620942,7.05812,570.4222040351103,5.387790906446196e-09,238.78,1.934558,5.387790906446196e-09,85737135546.09584,359063303.2335029
1882,RMJ235309.7+331514.9,358.2904608,33.2541378,0.4557,113.7,120,53.829,1.437467,0.361212,6.71901,480.01637500666493,9.041320015830997e-09,113.7,1.437467,9.041320015830997e-09,18077006190.8906,158988620.85216004
438,RMJ082150.6+011149.5,125.4610353,1.1970884,0.0879,61.36,79,37.486,1.959915,0.87631,5.0358,313.0095848926052,3.260821983448554e-08,61.36,1.959915,3.260821983448554e-08,3688038936.514283,60104937.035760805
585,RMJ082500.2+042548.6,126.2507709,4.4301567,0.2331,79.7,146,56.641,8.689288,2.448525,7.89559,313.4736874131951,3.246360326963411e-08,79.7,8.689288,3.246360326963411e-08,21332698278.99192,267662462.72260877
368,RMJ082602.7+041939.5,126.5110659,4.3276313,0.4751,179.25,209,102.9,9.956077,3.380345,6.7956,620.2858393863249,4.190100116289063e-09,179.25,9.956077,4.190100116289063e-09,425915074275.2524,2376095253.9763036
1000,RMJ081710.5+075344.3,124.2937294,7.8956386,0.2487,86.41,142,46.694,1.234545,0.266907,6.5462,369.42245303231516,1.9834905544259447e-08,86.41,1.234545,1.9834905544259447e-08,5378247615.64716,62241032.46901007
5263,RMJ074629.7+144629.5,116.6237049,14.7748558,0.4467,85.45,114,53.111,5.568552,3.33635,4.62855,537.3505559169037,6.445058927144278e-09,85.45,5.568552,6.445058927144278e-09,73829079575.35703,864003271.8005502
694,RMJ132413.2-031751.5,201.055001,-3.2976486,0.2195,69.77,116,46.109,2.043704,0.999291,4.85596,249.75324406322088,6.418988327466316e-08,69.77,2.043704,6.418988327466316e-08,2221366059.6619654,31838412.78001957
13220,RMJ133105.7-014551.3,202.7738553,-1.7642529,0.5491,79.89,63,46.61,11.714353,2.699704,8.68979,998.698565034694,1.0039144893796744e-09,79.89,11.714353,1.0039144893796744e-09,932210532939.189,11668676091.365488
313,RMJ143821.9+034013.2,219.5911137,3.6703464,0.22,80.49,146,61.155,2.904312,1.188115,4.9862,239.8470830474702,7.247641061102434e-08,80.49,2.904312,7.247641061102434e-08,3225436675.315177,40072514.291404866
43,RMJ140100.5+025149.7,210.2521999,2.8638091,0.2571,134.28,233,85.441,4.832111,0.667726,15.63451,241.4401579874674,7.105121029592887e-08,134.28,4.832111,7.105121029592887e-08,9132228182.70808,68008848.54563658
1827,RMJ134431.8+022244.3,206.132535,2.3789787,0.3768,62.12,107,44.118,1.489363,0.570667,5.25274,523.3970401771702,6.974389741922975e-09,62.12,1.489363,6.974389741922975e-09,13265566305.230692,213547429.25355268
229,RMJ124751.4-024950.0,191.9643423,-2.8305594,0.1824,73.4,103,62.713,1.92438,0.698308,6.10587,239.93377564420925,7.23978777125075e-08,73.4,1.92438,7.23978777125075e-08,1951017025.124725,26580613.42131778
3,RMJ131129.5-012028.0,197.8729572,-1.3411163,0.1824,164.71,206,118.677,6.130851,0.807985,16.74117,266.1056772907821,5.3068593732909534e-08,164.71,6.130851,5.3068593732909534e-08,19028438426.16811,115526916.55739245
455,RMJ121937.2-031834.2,184.9050072,-3.3095125,0.3039,87.78,152,54.981,2.46288,1.049995,4.75093,386.3927231295627,1.7334574409611087e-08,87.78,2.46288,1.7334574409611087e-08,12471699696.309443,142079057.82990935
188,RMJ122241.3+020558.9,185.6720935,2.0997009,0.2291,95.18,155,70.617,2.507856,1.029794,4.8521,273.3277656700348,4.8972102110946674e-08,95.18,2.507856,4.8972102110946674e-08,4874157403.724031,51209890.77247354
775,RMJ125401.1+070144.2,193.5047591,7.0289451,0.3559,84.87,155,47.87,0.785655,0.169485,4.72224,376.33452891080435,1.8761942439781052e-08,84.87,0.785655,1.8761942439781052e-08,3553925189.9963794,41874928.596634604
3021,RMJ133111.4+010003.2,202.7976779,1.0008958,0.36,55.81,109,45.072,2.143754,0.948731,5.18634,478.5403722713743,9.125239057941913e-09,55.81,2.143754,9.125239057941913e-09,13111208372.768265,234925790.58893144
88,RMJ132701.0+021219.5,201.7542095,2.2054219,0.2601,115.16,192,79.806,4.077327,1.018002,8.56836,293.1795169723429,3.968250914839684e-08,115.16,4.077327,3.968250914839684e-08,11832542533.136908,102748719.46107075
728,RMJ135620.4+104724.2,209.0851119,10.7900481,0.2474,56.71,108,55.899,1.379831,0.542849,4.96268,212.70327313251994,1.0391481793403149e-07,56.71,1.379831,1.0391481793403149e-07,753022692.6796503,13278481.62016664
309,RMJ132600.5+122243.6,201.5022846,12.3787662,0.206,79.19,108,46.699,1.060043,0.248736,5.82636,225.75964247279947,8.69082638309484e-08,79.19,1.060043,8.69082638309484e-08,965901301.782845,12197263.5658902
2404,RMJ105820.4-021039.8,164.5849311,-2.177716,0.3431,63.51,135,44.499,1.957713,1.045576,4.81896,421.81175683396043,1.3324286397502524e-08,63.51,1.957713,1.3324286397502524e-08,9331407995.951284,146928168.7285669
560,RMJ111247.5+023010.8,168.1980863,2.5029925,0.2722,78.29,143,50.887,2.05365,0.79812,5.98593,314.22378398199453,3.22316721807768e-08,78.29,2.05365,3.22316721807768e-08,4988269227.802911,63715279.44568796
360,RMJ111408.4+042038.7,168.5348187,4.3440808,0.2335,80.81,135,58.676,1.752088,0.572791,6.58375,308.53297205921194,3.4048285814282064e-08,80.81,1.752088,3.4048285814282064e-08,4158395287.5715566,51458919.53435907
161,RMJ093515.3+004746.0,143.8135783,0.7961192,0.3568,118.64,195,87.358,1.108262,0.329928,5.10404,347.0627203771488,2.392082204703369e-08,118.64,1.108262,2.392082204703369e-08,5496642357.084244,46330431.19592249
102,RMJ091617.6-002405.7,139.0731553,-0.4015763,0.3318,110.94,189,83.024,0.875885,0.195516,4.90539,403.59804191192427,1.5210827749820975e-08,110.94,0.875885,1.5210827749820975e-08,6388257332.0931635,57582993.799289376
411,RMJ092207.6+034558.8,140.531872,3.7663294,0.2773,96.72,168,74.122,2.641567,0.801292,6.69323,313.8720159325474,3.2340163383790456e-08,96.72,2.641567,3.2340163383790456e-08,7900156755.796043,81680694.33205174
292,RMJ094024.6+022839.5,145.1024352,2.4776433,0.1564,62.73,81,38.606,3.552673,1.276462,5.22349,229.16134049278418,8.30952000944497e-08,62.73,3.552673,8.30952000944497e-08,2681974133.724792,42754250.4977649
695,RMJ092647.3+050004.0,141.6969646,5.0011045,0.4694,139.85,148,77.399,1.235883,0.365573,5.57671,495.4649816522213,8.221690142534194e-09,139.85,1.235883,8.221690142534194e-09,21022227127.709,150319822.15022525
12233,RMJ093439.0+054144.8,143.6624092,5.6957661,0.5421,98.44,76,55.845,1.05631,0.396107,4.58413,662.6107731489828,3.437356068166395e-09,98.44,1.05631,3.437356068166395e-09,30250912136.50968,307303048.9283796
3133,RMJ103448.6+042419.8,158.7023402,4.4054995,0.165,38.17,60,31.106,1.587104,0.843867,4.72944,251.3590928455698,6.296746348711874e-08,38.17,1.587104,6.296746348711874e-08,962080355.8712955,25205144.246038653
667,RMJ102340.7+041115.1,155.9194807,4.1875152,0.2917,73.53,128,41.464,2.417295,0.593839,8.38827,272.8766769226527,4.921536917041475e-08,73.53,2.417295,4.921536917041475e-08,3611548675.669563,49116669.05575361
6007,RMJ110855.4+090601.6,167.2306763,9.1004431,0.468,73.85,84,44.336,1.406087,0.59746,4.86181,601.943840882871,4.584923298525639e-09,73.85,1.406087,4.584923298525639e-09,22648039713.857674,306676231.73808634
3009,RMJ101449.5+103923.2,153.7061548,10.6564473,0.2045,46.18,85,37.378,1.475286,0.602522,4.90937,249.44039661341952,6.443170663318751e-08,46.18,1.475286,6.443170663318751e-08,1057378595.7255436,22896894.667075437
425,RMJ103120.5+140534.3,157.8352771,14.0928702,0.3196,89.6,165,62.433,1.271863,0.49014,5.63651,303.1788090201498,3.588421683172354e-08,89.6,1.271863,3.588421683172354e-08,3175739499.4685874,35443521.199426204
427,RMJ103034.8+141541.8,157.6449403,14.2616073,0.3273,85.87,165,66.233,4.86658,2.186072,5.6929,295.4946706571735,3.875707934546152e-08,85.87,4.86658,3.875707934546152e-08,10782371418.524746,125566221.24752235
348,RMJ103250.4+135242.5,158.2100771,13.8784806,0.3275,91.73,174,57.451,7.113615,2.589543,5.75173,308.287424703585,3.412970782495165e-08,91.73,7.113615,3.412970782495165e-08,19119176387.233677,208428827.94324297
26,RMJ120025.3+032049.2,180.1056199,3.3469985,0.1381,103.02,152,82.237,6.612943,1.037291,12.56745,231.87433518320356,8.021248196825655e-08,103.02,6.612943,8.021248196825655e-08,8493259043.269666,82442817.34876399
