ID,Len,Ng_5,Ng1,L0_5,L1_0,xlen,ylen,zlen,feed_proxy,density_proxy,ambient_resistance_proxy,smoothing_proxy,choke_F1,choke_F2,concentration_Ng,concentration_L,thickness_proxy
26,24.252,19,21,30.53,33.063,8.946,6.411,20.515,0.7834405409863104,1.2588652482269505,0.08250865907966354,24.252,0.032304162171627515,11.95324323653776,0.9047619047619048,0.9233886822127453,0.2643493320138545
27,21.758,12,16,8.238,10.682,7.781,7.023,16.91,0.5515212795293686,0.37861935839691147,0.18388638661641699,21.758,0.02534797681447599,1.1355741816453229,0.75,0.7712038944017974,0.3227778288445629
28,25.402,29,38,22.218,27.034,2.603,9.596,22.11,1.1416423903629636,0.8746555389339422,0.354342177781277,25.402,0.044943011981850384,2.818021400853719,0.7631578947368421,0.8218539616778872,0.10247224627982049
29,17.684,13,16,11.255,14.877,4.336,1.547,16.618,0.7351277991404659,0.6364510291789188,0.16970142501696447,17.684,0.0415702216207004,2.7570354479593284,0.8125,0.7565369362102574,0.08748020809771544
30,21.072,13,22,10.796,19.346,4.435,9.052,17.547,0.6169324221716022,0.512338648443432,0.4271545178435839,21.072,0.02927735488665538,0.7399624963631393,0.5909090909090909,0.5580481753334022,0.2104688686408504
31,22.887,26,34,29.942,37.207,7.418,5.317,20.473,1.1360160789968103,1.308253593743173,0.34958710184821074,22.887,0.0496358666053572,4.251292768069304,0.7647058823529411,0.8047410433520574,0.23231528815484773
32,31.842,31,40,32.524,51.831,9.927,6.339,28.36,0.9735569373783054,1.0214182526223228,0.28267696752716537,31.842,0.03057461646185244,3.5178275559706704,0.775,0.6275009164399683,0.19907669116261542
33,36.254,37,50,32.408,45.335,29.488,6.348,16.486,1.0205770397749214,0.8939151541898825,0.35860870524631766,36.254,0.028150743084209232,2.5440243600512003,0.74,0.7148560714679607,0.17509792022949192
34,36.312,37,45,11.804,13.454,30.363,14.18,4.467,1.0189469046045385,0.32507160167437765,0.22034038334434897,36.312,0.028060886335220823,1.5032682492128453,0.8222222222222222,0.8773598929686338,0.12301718440185062
35,11.085,6,7,5.881,6.368,7.659,5.965,5.069,0.5412719891745602,0.5305367613892648,0.09030221019395578,11.085,0.04882922771083087,3.180040527807781,0.8571428571428571,0.9235238693467337,0.4572846188543076
