Name,RAJ2000,DEJ2000,DM,DMeNE2001,DMeYMW16,DM_excess_extragalactic,ang_sep_to_nearest_PSZ2_deg,nearest_PSZ2_name
FRB20181012B,206.33,64.15,713.3,681.7,689.4,23.899999999999977,2.2903297951258987,PSZ2 G109.97+52.84
FRB20181202B,202.83,64.72,826.5,792.2,800.0,26.5,1.8386369478541196,PSZ2 G118.92+52.38
FRB20190502B,212.04,64.44,917.1,884.8,892.3,24.800000000000068,2.1301311592505123,PSZ2 G109.97+52.84
FRB20180920B,191.09,63.52,459.4,430.2,438.3,21.099999999999966,0.9012370611416606,PSZ2 G125.71+53.86
FRB20181119A,190.53,65.13,368.8,330.3,338.4,30.400000000000034,1.3151659010037944,PSZ2 G126.57+51.61
FRB20190103A,190.53,65.13,365.6,330.7,338.8,26.80000000000001,1.3151659010037944,PSZ2 G126.57+51.61
FRB20190313A,190.53,65.13,365.6,330.7,338.8,26.80000000000001,1.3151659010037944,PSZ2 G126.57+51.61
FRB20190415A,182.38,71.28,632.4,596.7,604.7,27.699999999999932,0.41810657737361734,PSZ2 G127.86+45.05
FRB20181219B,180.79,71.55,1950.7,1914.9,1923.0,27.700000000000045,0.3170864891428006,PSZ2 G127.86+45.05
FRB20181231C,197.09,69.18,554.8,520.6,528.4,26.399999999999977,1.3268186867512324,PSZ2 G118.79+47.50
FRB20181203C,198.48,72.94,2442.4,2407.1,2414.7,27.700000000000273,0.10612243736095531,PSZ2 G120.76+44.14
FRB20190206C,200.45,74.39,1044.9,1004.7,1012.2,32.700000000000045,1.3540238158777773,PSZ2 G118.39+42.22
FRB20180908B,188.22,74.19,197.3,157.0,164.6,32.70000000000002,2.64797559559546,PSZ2 G128.26+43.03
FRB20190621A,188.22,74.19,197.3,159.1,166.7,30.600000000000023,2.64797559559546,PSZ2 G128.26+43.03
FRB20180806A,228.56,75.62,739.2,699.3,706.0,33.200000000000045,4.1621193490982265,PSZ2 G115.65+41.66
FRB20180814B,238.26,74.02,237.8,197.2,203.8,34.0,3.4867984232709617,PSZ2 G105.00+39.68
FRB20180814B,238.26,74.02,237.8,197.2,203.8,34.0,3.4867984232709617,PSZ2 G105.00+39.68
FRB20190220A,237.21,74.16,215.1,175.2,181.7,33.400000000000006,3.637742448654733,PSZ2 G105.00+39.68
FRB20180917B,238.8,77.53,860.5,813.9,820.1,40.39999999999998,2.0823202664275344,PSZ2 G112.69+33.37
FRB20181017B,237.76,78.5,304.1,263.7,269.9,34.200000000000045,1.5745405465923448,PSZ2 G112.69+33.37
FRB20190628B,248.48,80.14,406.0,361.5,367.2,38.80000000000001,1.1336787233520513,PSZ2 G112.69+33.37
FRB20181126A,262.05,81.17,493.3,444.6,449.6,43.69999999999999,2.7403363501284095,PSZ2 G110.98+31.73
FRB20190224B,268.24,82.57,839.5,788.0,792.3,47.200000000000045,3.3890330679902307,PSZ2 G118.58+28.57
FRB20190323B,193.22,77.24,787.7,749.3,756.6,31.100000000000023,3.4068865019571892,PSZ2 G118.46+39.32
FRB20190401A,196.8,79.91,779.6,740.8,747.8,31.800000000000068,2.8394053426538863,PSZ2 G123.72+34.68
FRB20190131E,195.65,80.92,279.8,236.5,243.3,36.5,1.8591461194701453,PSZ2 G123.72+34.68
FRB20190531A,203.96,81.72,325.1,280.7,287.2,37.900000000000034,2.3075116581222224,PSZ2 G123.72+34.68
FRB20181119C,190.1,82.16,283.1,240.3,247.0,36.10000000000002,0.38247288300636684,PSZ2 G123.72+34.68
FRB20180810B,180.41,83.14,169.8,123.3,129.6,40.20000000000002,0.6627318261595719,PSZ2 G125.25+33.33
FRB20190124D,237.26,81.23,341.3,294.5,300.3,41.0,2.4400267304171335,PSZ2 G112.69+33.37
FRB20190619B,231.74,82.15,270.1,224.7,230.6,39.50000000000003,2.176875114398177,PSZ2 G118.03+31.10
FRB20190623C,192.31,86.03,1049.8,1001.0,1006.2,43.59999999999991,0.6043637531372134,PSZ2 G123.42+30.63
FRB20190403E,220.22,86.54,220.0,176.3,181.1,38.900000000000006,2.057639903968899,PSZ2 G123.42+30.63
FRB20190419B,255.27,86.74,166.6,112.8,117.0,49.599999999999994,0.9300731947488421,PSZ2 G118.58+28.57
FRB20190328B,199.47,86.85,564.5,514.9,519.9,44.60000000000002,0.8700423319114416,PSZ2 G123.42+30.63
FRB20190609B,210.49,88.35,292.8,239.9,243.9,48.900000000000006,2.140203916813103,PSZ2 G123.42+30.63
FRB20190425B,210.12,88.6,1030.3,979.0,982.9,47.39999999999998,2.3232196059434673,PSZ2 G123.42+30.63
