WISE,HIIName,GLON,GLAT,Rad,Dist,RGal,Z,DV1,R_pc,group_multiplicity,driving_proxy,ambient_resistance_proxy,existing_bubble_strength,choke_B1,choke_B2
G048.604+00.022,G048.610+00.020,48.604,0.023,59,10.0,7.7,3.0,23.7,2.860400718546262,2,561.6899999999999,0.10860910882495796,2,5171.665674057402,2585.832837028701
G048.417+00.117,G048.421+00.118,48.418,0.118,60,10.2,7.8,20.0,21.0,2.96705972839036,1,441.0,0.09424054632727062,1,4679.514467886597,4679.514467886597
G048.599+00.044,G048.610+00.020,48.599,0.045,235,10.0,7.7,7.0,23.7,11.393121506074095,2,561.6899999999999,0.10575114151280648,2,5311.43202772879,2655.716013864395
G048.630+00.230,G048.630+00.230,48.63,0.23,276,10.7,8.1,42.0,23.1,14.317517630526815,1,533.61,0.07469921360419593,1,7143.448695824378,7143.448695824378
G049.733-00.633,G049.738-00.616,49.733,-0.633,148,5.5,6.5,-60.0,23.9,3.946383364231623,1,571.2099999999999,0.10464905532319575,1,5458.338809040254,5458.338809040254
G048.922-00.285,G048.930-00.286; W51,48.923,-0.284,100,5.4,6.4,-26.0,29.6,2.6179938779914944,1,876.1600000000001,0.13507774709511342,1,6486.338563102198,6486.338563102198
G049.002-00.303,G048.997-00.295; W51,49.003,-0.302,112,5.4,6.4,-28.0,27.7,2.932153143350474,1,767.29,0.1332886641913901,1,5756.60356906453,5756.60356906453
G049.077-00.375,G049.076-00.377; W51,49.078,-0.375,60,5.4,6.4,-35.0,32.2,1.5707963267948966,1,1036.8400000000001,0.12721143149064057,1,8150.525372212987,8150.525372212987
G049.051-00.255,G049.060-00.260; W51,49.052,-0.254,132,5.4,6.4,-23.0,22.8,3.4557519189487724,1,519.84,0.13780649859422991,1,3772.2459049675485,3772.2459049675485
G049.163-00.066,W51,49.163,-0.066,203,5.4,6.4,-6.0,20.3,5.314527572322733,3,412.09000000000003,0.15434399581882674,3,2669.9451301216973,889.9817100405656
G049.201-00.365,G049.210-00.350; W51,49.201,-0.365,188,5.4,6.4,-34.0,29.3,4.9218284906240095,1,858.49,0.12806234091380803,1,6703.68817151175,6703.68817151175
G049.399-00.490,W51,49.4,-0.489,51,5.5,6.5,-47.0,22.1,1.3599023755122484,3,488.4100000000001,0.11412325956032288,3,4279.67096174499,1426.55698724833
G049.428-00.464,G049.437-00.465; W51,49.428,-0.464,123,5.4,6.5,-43.0,24.3,3.220132469929538,1,590.49,0.11720748674419763,1,5037.988753130842,5037.988753130842
G049.501-00.524,W51,49.501,-0.524,252,5.4,6.5,-49.0,24.7,6.597344572538565,3,610.0899999999999,0.112611715453411,3,5417.642361130734,1805.8807870435778
G049.484-00.391,G049.486-00.381; W51,49.485,-0.39,109,5.4,6.5,-36.0,30.2,2.8536133270107285,2,912.04,0.12280680406079358,2,7426.624338733779,3713.3121693668895
G049.489-00.378,G049.486-00.381; W51,49.49,-0.377,16,5.4,6.5,-35.0,30.2,0.41887902047863906,2,912.04,0.12362825120261035,2,7377.278179768854,3688.639089884427
G049.592-00.456,G049.588-00.456; W51,49.593,-0.455,127,5.4,6.5,-42.0,37.5,3.324852225049198,1,1406.25,0.11799148039765911,1,11918.233378042261,11918.233378042261
G049.582-00.384,G049.582-00.381; W51,49.583,-0.383,60,5.4,6.5,-36.0,30.3,1.5707963267948966,1,918.09,0.12280680406079358,1,7475.888710087383,7475.888710087383
G049.690-00.166,G049.704-00.172; W51,49.691,-0.166,178,5.4,6.5,-15.0,31.5,4.66002910282486,1,992.25,0.1412614490325242,1,7024.209413082994,7024.209413082994
G050.038-00.274,G050.039-00.274,50.039,-0.274,82,5.5,6.5,-26.0,22.7,2.186509701804007,1,515.29,0.13127299531242198,1,3925.3313202280497,3925.3313202280497
G050.137-00.660,G050.125-00.670,50.137,-0.659,239,5.4,6.5,-62.0,20.4,6.257005368399671,1,416.15999999999997,0.1032629955184102,1,4030.0980802537833,4030.0980802537833
G050.262-00.409,G050.280-00.390,50.263,-0.409,63,10.2,8.1,-73.0,23.9,3.115412714809878,1,571.2099999999999,0.0607521758493674,1,9402.296987951384,9402.296987951384
G050.287-00.392,G050.280-00.390,50.288,-0.391,80,10.2,8.1,-69.0,23.9,3.9560796378538137,1,571.2099999999999,0.0623940279394325,1,9154.882588354261,9154.882588354261
G050.317-00.421,G050.280-00.390,50.317,-0.42,91,10.2,8.1,-74.0,23.9,4.500040588058713,1,571.2099999999999,0.06034850839694323,1,9465.188372889972,9465.188372889972
G049.997-00.130,G049.998-00.125,49.997,-0.129,102,5.5,6.6,-12.0,20.4,2.7198047510244967,1,416.15999999999997,0.140055811013774,1,2971.3868848974216,2971.3868848974216
G049.997-00.087,G050.024-00.076,49.998,-0.086,330,5.5,6.5,-8.0,16.4,8.799368312138078,1,268.96,0.14800988891214992,1,1817.1758791038553,1817.1758791038553
G049.828+00.366,G049.828+00.366,49.828,0.366,66,10.8,8.4,69.0,22.0,3.4557519189487724,2,484.0,0.05726876026546736,2,8451.379037304714,4225.689518652357
G049.840+00.367,G049.828+00.366,49.84,0.368,43,10.8,8.4,69.0,22.0,2.251474735072685,2,484.0,0.05726876026546736,2,8451.379037304714,4225.689518652357
G050.079+00.571,G050.079+00.571,50.079,0.571,107,11.2,8.7,111.0,18.3,5.810007154416679,1,334.89000000000004,0.039727394728747895,1,8429.699513058276,8429.699513058276
G050.298+00.674,G050.320+00.680,50.298,0.674,71,8.9,7.4,105.0,21.1,3.0635376509311576,1,445.21000000000004,0.05994752311038173,1,7426.662135485269,7426.662135485269
G050.489+00.992,G050.489+00.993,50.489,0.993,161,5.4,6.6,93.0,25.9,4.214970143566306,1,670.81,0.08161727910309859,1,8218.970386805418,8218.970386805418
G051.401-00.890,G051.402-00.890,51.401,-0.89,97,5.3,6.6,-82.0,20.5,2.4924271345841245,1,420.25,0.08782747041580356,1,4784.949378712617,4784.949378712617
G052.537-00.946,G052.537-00.943,52.538,-0.946,151,5.2,6.7,-85.0,16.2,3.8067570240720765,1,262.44,0.08366350810598422,1,3136.851489272279,3136.851489272279
G052.398-00.591,G052.397-00.580,52.398,-0.59,103,5.2,6.7,-53.0,27.4,2.5966620760226746,1,750.7599999999999,0.10355845453177509,1,7249.625377227336,7249.625377227336
G050.785+00.167,G050.785+00.168,50.785,0.168,60,5.4,6.7,15.0,25.8,1.5707963267948966,1,665.64,0.13341566624390258,1,4989.219172980154,4989.219172980154
G051.010+00.060,G050.857+00.081,51.01,0.06,999,7.2,6.9,7.0,17.8,34.8716784548467,1,316.84000000000003,0.13290838295416257,1,2383.8977870137187,2383.8977870137187
G051.681-00.256,G051.681-00.256,51.681,-0.256,120,5.3,6.7,-23.0,18.6,3.0834150118566486,1,345.96000000000004,0.12648658199591464,1,2735.1517808519334,2735.1517808519334
G051.831+00.462,G051.828+00.461,51.831,0.463,122,10.3,8.4,83.0,27.0,6.092168716822428,1,729.0,0.05216553071526624,1,13974.745200601557,13974.745200601557
G051.760+00.790,G051.762+00.794,51.76,0.791,103,10.5,8.5,144.0,22.3,5.243259961199631,1,497.29,0.033756866565280354,1,14731.521334728182,14731.521334728182
G051.779+00.713,G051.779+00.713,51.779,0.714,73,10.7,8.5,132.0,19.5,3.7868796631465855,1,380.25,0.0365683769953974,1,10398.328589968849,10398.328589968849
G052.160+00.708,G052.160+00.706,52.16,0.708,67,10.0,8.2,123.0,25.7,3.2482516634338907,1,660.49,0.04230469767891181,1,15612.686917491987,15612.686917491987
G052.201+00.752,G052.201+00.752,52.201,0.752,76,9.9,8.2,130.0,19.0,3.6477381366681487,1,361.0,0.04037583528322871,1,8940.99149819823,8940.99149819823
G052.256+00.702,G052.259+00.700,52.256,0.703,120,10.0,8.3,122.0,20.0,5.817764173314432,1,400.0,0.04138809893720218,1,9664.613989806989,9664.613989806989
G052.232+00.735,G052.230+00.740,52.232,0.735,87,10.9,8.8,139.0,21.4,4.597488137961729,1,457.9599999999999,0.032034162069502464,1,14295.988108145097,14295.988108145097
G052.098+01.042,G052.098+01.042,52.098,1.042,122,4.0,6.8,72.0,29.6,2.3658907638145354,1,876.1600000000001,0.08866791829517855,1,9881.36427296323,9881.36427296323
G052.980+00.133,G052.993+00.132,52.981,0.134,152,10.3,8.5,24.0,18.3,7.590242991450895,1,334.89000000000004,0.07512728815869038,1,4457.63461197503,4457.63461197503
G052.750+00.334,G052.753+00.335,52.751,0.335,60,9.1,7.9,53.0,34.9,2.6470826988580662,1,1218.01,0.07349953564957276,1,16571.669320567744,16571.669320567744
G052.766+00.333,G052.753+00.335,52.767,0.334,59,9.1,7.9,53.0,34.9,2.6029646538770983,1,1218.01,0.07349953564957276,1,16571.669320567744,16571.669320567744
G053.095+00.212,G053.089+00.257,53.095,0.212,321,10.3,8.5,38.0,21.9,16.029394738524587,1,479.60999999999996,0.06843268196884614,1,7008.493401125818,7008.493401125818
G053.184+00.155,G053.184+00.155,53.184,0.155,149,9.7,8.2,26.0,29.5,7.007012133076123,1,870.25,0.08076670411311387,1,10774.860873129275,10774.860873129275
G053.188+00.209,G053.187+00.209,53.188,0.21,53,10.0,8.4,36.0,23.1,2.569512509880541,1,533.61,0.07136126955638607,1,7477.5855771227325,7477.5855771227325
G053.644+00.014,G053.630+00.020,53.645,0.015,98,7.5,7.3,1.0,31.9,3.5633805561550895,1,1017.6099999999999,0.12339299294597851,1,8246.902645805098,8246.902645805098
G053.822-00.057,G053.822-00.057,53.822,-0.057,69,5.0,6.9,-4.0,21.5,1.672607199827899,1,462.25,0.1355933103906259,1,3409.0914859171194,3409.0914859171194
G053.958+00.032,G053.958+00.032,53.958,0.032,72,5.0,7.0,2.0,29.6,1.7453292519943293,1,876.1600000000001,0.13354278930836644,1,6560.893362627321,6560.893362627321
G054.490+00.930,G054.471+00.950,54.491,0.93,245,7.3,7.3,118.0,19.0,8.67089268664405,1,361.0,0.0565640897193796,1,6382.141068493437,6382.141068493437
G286.439-01.496,G286.417-01.476,286.439,-1.495,89,9.2,10.6,-239.0,26.0,3.969654420924881,1,676.0,0.009834046692804582,1,68740.7759101468,68740.7759101468
G286.412-01.468,G286.417-01.476,286.412,-1.467,89,9.2,10.6,-235.0,26.0,3.969654420924881,1,676.0,0.010099815776638096,1,66931.91390318792,66931.91390318792
G286.391-01.351,G286.401-01.346,286.391,-1.351,189,9.2,10.6,-216.0,24.0,8.429940287132611,1,576.0,0.011463680845362452,1,50245.641672152495,50245.641672152495
G284.636-00.497,G284.650-00.484,284.636,-0.496,204,5.4,8.8,-46.0,14.0,5.340707511102648,1,196.0,0.059549202168048584,1,3291.3959022806985,3291.3959022806985
G269.454-01.468,G269.467-01.480,269.454,-1.468,195,9.7,12.9,-247.0,23.0,9.170250778186873,1,529.0,0.004832550231686354,1,109466.01165807263,109466.01165807263
G269.068-01.114,G269.133-01.137,269.068,-1.113,290,3.6,9.3,-69.0,18.0,5.061454830783555,1,324.0,0.0442835121631488,1,7316.492847412893,7316.492847412893
G296.660-00.925,G296.593-00.975,296.66,-0.924,540,10.2,9.9,-164.0,21.0,26.70353755551324,1,441.0,0.0198033381530263,1,22268.972866708707,22268.972866708707
G295.163-00.675,G295.144-00.628,295.163,-0.674,705,11.1,10.8,-130.0,28.0,37.93909461522674,1,784.0,0.019208911780880213,1,40814.38912017715,40814.38912017715
