ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,MWLc,e_MWLc,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness,ambient_smoothing_proxy,choke_L1,choke_L2,feed_times_tightness
28325,RMJ085946.1+110441.6,134.9419217,11.0782322,0.5535,44.26,39,20.225,3.359,0.988,165.2569308611414,2.215750987675186e-07,44.26,3.359,2.215750987675186e-07,670965920.0287082,15159645.730427206,148.66934
35111,RMJ090000.4+111149.8,135.0017577,11.1971757,0.5521,44.17,38,26.421,3.34,0.985,162.8386441281513,2.315941405161461e-07,44.17,3.34,2.315941405161461e-07,637010071.4603994,14421781.106189707,147.5278
22621,RMJ085915.7+112326.0,134.8154299,11.3905573,0.3731,23.6,54,14.544,2.333,0.394,84.97420187697816,1.6298165275292645e-06,23.6,2.333,1.6298165275292645e-06,33782207.42641928,1431449.467221156,55.058800000000005
34178,RMJ090932.8+120721.2,137.386772,12.122568,0.584,57.96,39,38.93,4.495,1.383,205.48557888901027,1.1525398631471093e-07,57.96,4.495,1.1525398631471093e-07,2260487540.002303,39000820.22088169,260.53020000000004
55955,RMJ090130.1+121215.4,135.375607,12.2042747,0.5116,40.4,48,24.321,2.941,0.832,112.91880399889708,6.94546282675888e-07,40.4,2.941,6.94546282675888e-07,171070529.01101768,4234419.034926181,118.81639999999999
15081,RMJ090715.8+123603.4,136.8157224,12.600931,0.3797,31.8,74,23.701,3.073,0.432,61.08008208452948,4.388349047890415e-06,31.8,3.073,4.388349047890415e-06,22268374.491991933,700263.3488047777,97.7214
21650,RMJ090641.2+124521.6,136.6718282,12.7559899,0.3897,27.59,60,20.587,2.696,0.415,74.33106494710701,2.434943761087115e-06,27.59,2.696,2.434943761087115e-06,30547990.95926176,1107212.4305640361,74.38264000000001
28758,RMJ085537.4+112740.9,133.9060166,11.4613575,0.5719,56.26,42,28.172,4.354,1.293,184.4075462647047,1.5946446956433712e-07,56.26,4.354,1.5946446956433712e-07,1536116732.8949769,27303887.8936185,244.95604
26645,RMJ085450.3+115618.8,133.7096189,11.9385648,0.4582,41.7,80,25.068,3.836,0.674,93.56381542329159,1.2208891366356976e-06,41.7,3.836,1.2208891366356976e-06,131020250.07839102,3141972.4239422306,159.9612
5328,RMJ085908.4+134032.1,134.7849429,13.6755963,0.4587,62.61,92,39.979,5.631,0.753,75.05339651780139,2.3653147898083085e-06,62.61,5.631,2.3653147898083085e-06,149052849.75982928,2380655.6422269493,352.55691
25823,RMJ085857.6+141101.5,134.7400148,14.1837421,0.4801,40.98,58,23.949,3.453,0.805,75.7780831791191,2.2981012207906843e-06,40.98,3.453,2.2981012207906843e-06,61574285.20546808,1502544.7829543215,141.50393999999997
17472,RMJ091446.7+131736.2,138.6944751,13.2933967,0.376,30.9,64,19.09,2.998,0.42,53.642418100423285,6.478507406027903e-06,30.9,2.998,6.478507406027903e-06,14299312.201728,462760.91267728154,92.6382
12291,RMJ091214.0+131053.3,138.0581676,13.1814665,0.2996,25.39,61,20.291,2.501,0.411,86.1188159340742,1.5656902605860343e-06,25.39,2.501,1.5656902605860343e-06,40557440.76496455,1597378.525599234,63.500389999999996
9558,RMJ091150.5+131435.0,137.9604864,13.2430451,0.3345,38.92,90,29.71,3.705,0.439,73.91994825469403,2.475797028799531e-06,38.92,3.705,2.475797028799531e-06,58243304.40767969,1496487.780258985,144.1986
2329,RMJ090857.0+132004.6,137.2373312,13.3346247,0.3863,80.98,141,54.978,7.327,0.631,61.86025194848771,4.224399149551714e-06,80.98,7.327,4.224399149551714e-06,140455586.46203312,1734447.8446781074,593.34046
37861,RMJ090954.4+132302.8,137.4765908,13.3840987,0.4124,28.0,57,23.537,2.589,0.499,62.74773618455474,4.04767667533573e-06,28.0,2.589,4.04767667533573e-06,17909533.249462724,639626.1874808116,72.492
35446,RMJ090745.4+130921.9,136.9389779,13.1560722,0.4271,32.65,58,24.016,3.038,0.542,75.57035632812969,2.3171043364675637e-06,32.65,3.038,2.3171043364675637e-06,42808042.10621636,1311119.2069285256,99.19069999999999
17285,RMJ090814.4+131741.9,137.0599164,13.294959,0.452,50.85,74,27.511,4.627,0.698,76.20551290753883,2.2596481925047404e-06,50.85,4.627,2.2596481925047404e-06,104123708.62881851,2047663.8865057721,235.28295
975,RMJ091211.2+133839.0,138.0467356,13.6441544,0.1824,55.38,83,40.882,5.253,0.48,56.23112755472775,5.624314837549376e-06,55.38,5.253,5.624314837549376e-06,51723836.307633825,933980.4317015857,290.91114000000005
6314,RMJ091008.9+140932.0,137.5372455,14.158884,0.2906,36.91,66,30.162,3.541,0.41,82.78053393887912,1.7628498787679529e-06,36.91,3.541,1.7628498787679529e-06,74140351.69650657,2008679.2656869837,130.69831
60037,RMJ091735.7+134904.6,139.3989017,13.8179557,0.4095,24.08,55,13.924,2.194,0.481,76.94779567149878,2.1948833839472496e-06,24.08,2.194,2.1948833839472496e-06,24070308.42111916,999597.525793985,52.83152
28762,RMJ091337.0+135811.7,138.4040096,13.9699264,0.3721,29.77,64,21.021,2.889,0.429,61.08008208452948,4.388349047890415e-06,29.77,2.889,4.388349047890415e-06,19598607.371796217,658334.1408060536,86.00553
19548,RMJ091414.4+140720.9,138.5598146,14.1224858,0.4174,39.87,59,23.658,3.718,0.545,64.01458503237771,3.8120904468352763e-06,39.87,3.718,3.8120904468352763e-06,38885924.1582432,975317.8870891198,148.23666
5316,RMJ091449.9+141250.0,138.7080337,14.2138821,0.4383,62.29,70,42.578,5.657,0.644,73.98440683061187,2.4693315845632515e-06,62.29,5.657,2.4693315845632515e-06,142700369.68823048,2290903.3502685903,352.37453
13346,RMJ091204.4+143530.3,138.018204,14.5917629,0.1722,20.78,33,15.677,1.953,0.398,57.71977779951915,5.200271860837315e-06,20.78,1.953,5.200271860837315e-06,7804080.456952405,375557.28859251225,40.58334000000001
57171,RMJ091604.9+144630.1,139.0203051,14.7750268,0.4588,29.83,42,15.624,2.474,0.608,76.79609391311324,2.2079163062154726e-06,29.83,2.474,2.2079163062154726e-06,33424917.326915126,1120513.487325348,73.79942
44714,RMJ090618.7+135729.0,136.5779516,13.9580612,0.3586,22.73,52,15.925,2.233,0.413,72.22196352861079,2.654557428117118e-06,22.73,2.233,2.654557428117118e-06,19120358.61887583,841194.8358502346,50.75609
14391,RMJ090550.9+135947.0,136.4619005,13.9963999,0.4122,36.98,75,24.542,3.49,0.504,82.24721969335157,1.7973651736647065e-06,36.98,3.49,1.7973651736647065e-06,71805219.04564054,1941731.1802498796,129.0602
9607,RMJ090956.7+141840.7,137.4861194,14.3112972,0.3065,32.63,71,24.262,3.153,0.414,60.28319620649313,4.564688946257851e-06,32.63,3.153,4.564688946257851e-06,22538751.53625602,690737.0988739202,102.88239000000002
3067,RMJ090937.3+143034.4,137.405485,14.5095523,0.1223,28.91,41,26.09,2.874,0.39,62.581834373026744,4.079952748852433e-06,28.91,2.874,4.079952748852433e-06,20364779.96549591,704419.9227082641,83.08734
3294,RMJ090849.4+143830.1,137.2057699,14.6416883,0.4523,85.29,108,51.502,7.521,0.869,59.528491512392556,4.740513282544243e-06,85.29,7.521,4.740513282544243e-06,135315745.7362347,1586537.0586966195,641.46609
10832,RMJ090851.3+144551.0,137.2138053,14.7641794,0.4695,53.27,72,35.4,4.759,0.794,70.09323893662872,2.9038328486574803e-06,53.27,4.759,2.9038328486574803e-06,87302521.60251077,1638868.436315201,253.51193000000004
28029,RMJ090722.8+145023.9,136.8451411,14.8399837,0.3427,22.8,50,16.064,2.239,0.398,55.4853222775518,5.8541744680148425e-06,22.8,2.239,5.8541744680148425e-06,8720136.42212321,382462.12377733376,51.0492
9892,RMJ090246.7+142336.7,135.6947417,14.3935304,0.3232,33.21,72,24.785,3.203,0.414,61.06538587483301,4.3915181568239416e-06,33.21,3.203,4.3915181568239416e-06,24222063.122911163,729360.5276396014,106.37163
31140,RMJ090323.8+144941.4,135.8493678,14.8281566,0.4988,37.56,44,23.258,2.809,0.748,75.7780831791191,2.2981012207906843e-06,37.56,2.809,2.2981012207906843e-06,45910092.66497827,1222313.4362347783,105.50604000000001
37475,RMJ090214.8+144542.5,135.5616957,14.7617931,0.4569,34.11,42,19.401,2.783,0.654,64.37911565845137,3.747701390340039e-06,34.11,2.783,3.747701390340039e-06,25329694.154578015,742588.5123007335,94.92813
17930,RMJ090637.8+145558.0,136.6575227,14.9327857,0.3752,32.62,71,23.287,3.141,0.44,63.94436295772735,3.824663266487626e-06,32.62,3.141,3.824663266487626e-06,26789134.84953499,821248.7691457692,102.45942
11346,RMJ090412.7+145936.7,136.053059,14.9935286,0.4782,61.27,81,32.559,5.498,0.834,70.21928345328494,2.888223649031177e-06,61.27,5.498,2.888223649031177e-06,116633093.87865336,1903592.196485284,336.86246000000006
215682,RMJ090351.2+151206.2,135.963371,15.2017317,0.4868,34.24,46,21.606,2.673,0.709,56.29808688315659,5.604270500779105e-06,34.24,2.673,5.604270500779105e-06,16331031.842106197,476957.70566898934,91.52352
37929,RMJ090541.4+151445.2,136.4223037,15.2458984,0.3311,21.38,62,15.349,2.064,0.407,58.81041180762692,4.916288252692453e-06,21.38,2.064,4.916288252692453e-06,8975942.363801125,419828.92253513215,44.12832
11439,RMJ091139.3+153531.9,137.9136821,15.5921942,0.2724,25.86,48,22.158,2.553,0.392,94.51280716661766,1.1844807646801534e-06,25.86,2.553,1.1844807646801534e-06,55737992.518458165,2155374.8073649714,66.02058
41279,RMJ091354.4+152004.1,138.4764819,15.3344712,0.3422,21.25,62,13.741,2.066,0.414,62.746818693148846,4.047854234753563e-06,21.25,2.066,4.047854234753563e-06,10845869.800119622,510393.8729468057,43.902499999999996
26496,RMJ091239.3+153042.6,138.163765,15.5118314,0.5139,41.56,53,26.042,3.139,0.859,93.37287485624911,1.2283943450842513e-06,41.56,3.139,1.2283943450842513e-06,106201107.58573414,2555368.3249695413,130.45684
33965,RMJ091225.7+154039.6,138.1072375,15.6776716,0.5021,38.4,44,24.433,2.836,0.791,77.3428725604864,2.161419702717754e-06,38.4,2.836,2.161419702717754e-06,50384661.46258724,1312100.5589215427,108.90239999999999
25437,RMJ091230.5+155657.5,138.1271076,15.9493147,0.2173,23.28,47,14.223,2.174,0.456,104.47393901139198,8.769525433224277e-07,23.28,2.174,8.769525433224277e-07,57712039.70542798,2479039.5062469062,50.61072
4878,RMJ090904.8+152216.2,137.2700302,15.3711739,0.1788,27.65,43,17.428,2.734,0.401,70.26144328053807,2.883027600371817e-06,27.65,2.734,2.883027600371817e-06,26220734.06104426,948308.645969051,75.5951
